Id,Product Name,Energy,Fat Percentage,Saturated Fat,Carbohydrates,Sugars,Fiber,Protein,Salt,Calcium
3776.0,Oat Milk,55.0 kcal,7.06 g,0.38 g,1.18 g,8.92 g,0.66 g,5.83 g,0.59 g,136.0 mg
3777.0,Skim Milk,48.0 kcal,5.18 g,3.43 g,2.85 g,2.51 g,0.8 g,6.6 g,0.2 g,150.0 mg
3778.0,Whole Milk,72.0 kcal,5.65 g,2.77 g,10.62 g,6.76 g,nan g,2.49 g,0.35 g,104.0 mg
3779.0,Whole Milk,44.0 kcal,6.52 g,nan g,2.64 g,nan g,0.77 g,3.01 g,nan g,107.0 mg
3780.0,Almond Milk,nan kcal,7.35 g,nan g,4.23 g,3.0 g,0.66 g,5.17 g,0.41 g,98.0 mg
3781.0,Whole Milk,71.0 kcal,0.56 g,nan g,2.1 g,2.43 g,0.37 g,nan g,0.82 g,117.0 mg
3782.0,Whole Milk,72.0 kcal,1.49 g,4.6 g,11.02 g,2.01 g,nan g,6.29 g,0.17 g,109.0 mg
3783.0,Soy Milk,70.0 kcal,1.53 g,0.47 g,1.16 g,8.59 g,0.52 g,7.15 g,0.03 g,135.0 mg
3784.0,Almond Milk,55.0 kcal,1.3 g,3.89 g,11.18 g,4.06 g,0.56 g,4.54 g,0.38 g,nan mg
3785.0,Whole Milk,46.0 kcal,1.65 g,1.82 g,11.28 g,3.14 g,0.93 g,2.34 g,0.54 g,136.0 mg
,Whole Milk,55.0 kcal,1.89 g,3.04 g,7.18 g,4.27 g,0.77 g,5.17 g,0.15 g,149.0 mg
3787.0,Almond Milk,50.0 kcal,7.1 g,nan g,7.23 g,2.27 g,0.53 g,1.9 g,nan g,139.0 mg
3788.0,Almond Milk,nan kcal,4.93 g,nan g,11.5 g,nan g,0.57 g,3.73 g,0.97 g,90.0 mg
3789.0,Whole Milk,41.0 kcal,6.76 g,1.27 g,2.93 g,5.98 g,0.51 g,2.85 g,0.26 g,108.0 mg
3790.0,Cashew Milk,77.0 kcal,nan g,2.36 g,8.25 g,7.64 g,0.54 g,nan g,0.91 g,150.0 mg
3791.0,Oat Milk,65.0 kcal,5.41 g,0.77 g,8.71 g,7.16 g,0.05 g,3.82 g,0.07 g,88.0 mg
3792.0,Skim Milk,78.0 kcal,1.18 g,3.37 g,nan g,9.75 g,0.0 g,1.06 g,0.13 g,141.0 mg
3793.0,Almond Milk,74.0 kcal,4.75 g,2.31 g,4.82 g,3.08 g,0.01 g,nan g,nan g,80.0 mg
3794.0,Whole Milk,57.0 kcal,6.59 g,nan g,1.65 g,4.2 g,0.19 g,5.16 g,0.75 g,126.0 mg
3795.0,2% Milk,79.0 kcal,7.44 g,2.78 g,10.69 g,nan g,nan g,2.83 g,0.77 g,83.0 mg
3796.0,Whole Milk,64.0 kcal,6.65 g,4.35 g,1.31 g,6.46 g,0.66 g,6.62 g,0.46 g,104.0 mg
3797.0,Coconut Milk,57.0 kcal,3.4 g,0.87 g,3.69 g,0.82 g,0.61 g,3.5 g,0.31 g,110.0 mg
3798.0,Coconut Milk,67.0 kcal,6.99 g,4.51 g,nan g,4.05 g,0.34 g,7.41 g,0.38 g,107.0 mg
,Cashew Milk,71.0 kcal,6.94 g,nan g,10.71 g,5.39 g,0.47 g,6.49 g,0.23 g,144.0 mg
3800.0,2% Milk,52.0 kcal,1.08 g,4.91 g,4.67 g,0.93 g,0.01 g,nan g,0.43 g,131.0 mg
3801.0,Skim Milk,nan kcal,7.44 g,1.36 g,6.05 g,8.67 g,0.36 g,1.38 g,nan g,139.0 mg
3802.0,Almond Milk,62.0 kcal,4.42 g,3.29 g,6.66 g,4.07 g,0.98 g,1.67 g,0.15 g,145.0 mg
3803.0,2% Milk,60.0 kcal,5.84 g,2.36 g,7.96 g,4.9 g,0.25 g,2.25 g,0.74 g,116.0 mg
3804.0,Almond Milk,43.0 kcal,7.6 g,2.56 g,3.9 g,7.99 g,0.45 g,nan g,0.43 g,nan mg
3805.0,Cashew Milk,59.0 kcal,5.56 g,0.68 g,nan g,4.19 g,0.26 g,2.17 g,0.99 g,130.0 mg
3806.0,2% Milk,52.0 kcal,6.14 g,1.07 g,10.19 g,5.67 g,0.0 g,6.66 g,0.67 g,108.0 mg
3807.0,Whole Milk,nan kcal,nan g,2.7 g,1.72 g,7.63 g,0.04 g,5.47 g,0.62 g,128.0 mg
3808.0,,69.0 kcal,2.69 g,0.54 g,8.32 g,7.81 g,0.36 g,7.41 g,0.04 g,126.0 mg
3809.0,Soy Milk,nan kcal,5.26 g,0.73 g,9.6 g,9.37 g,0.05 g,2.91 g,0.14 g,137.0 mg
3810.0,Oat Milk,47.0 kcal,7.37 g,1.53 g,nan g,9.67 g,0.99 g,5.45 g,0.97 g,113.0 mg
3811.0,Soy Milk,49.0 kcal,2.86 g,0.86 g,3.07 g,6.82 g,0.0 g,6.01 g,0.69 g,106.0 mg
3812.0,Coconut Milk,51.0 kcal,3.2 g,3.91 g,4.27 g,6.84 g,0.48 g,1.43 g,0.49 g,nan mg
3813.0,Oat Milk,49.0 kcal,5.13 g,4.94 g,3.94 g,6.85 g,0.37 g,4.07 g,0.55 g,nan mg
3814.0,Cashew Milk,nan kcal,3.48 g,1.03 g,4.43 g,2.63 g,0.09 g,2.69 g,0.06 g,122.0 mg
3815.0,Cashew Milk,55.0 kcal,4.91 g,0.97 g,11.05 g,0.63 g,0.83 g,3.2 g,0.77 g,87.0 mg
3816.0,Skim Milk,65.0 kcal,4.99 g,0.7 g,5.27 g,nan g,1.0 g,7.16 g,0.76 g,112.0 mg
3817.0,Soy Milk,58.0 kcal,1.91 g,3.95 g,3.99 g,2.37 g,0.16 g,nan g,0.51 g,124.0 mg
3818.0,Cashew Milk,nan kcal,2.3 g,2.8 g,5.38 g,7.56 g,0.06 g,7.42 g,0.7 g,104.0 mg
3819.0,Whole Milk,76.0 kcal,6.63 g,3.34 g,4.47 g,nan g,0.07 g,5.1 g,0.21 g,90.0 mg
3820.0,Coconut Milk,73.0 kcal,4.13 g,2.06 g,2.83 g,6.51 g,0.74 g,nan g,0.03 g,123.0 mg
3821.0,Whole Milk,72.0 kcal,4.84 g,nan g,4.12 g,1.87 g,0.14 g,2.66 g,0.71 g,112.0 mg
3822.0,,nan kcal,4.63 g,nan g,11.16 g,nan g,0.07 g,7.26 g,0.32 g,119.0 mg
3823.0,Whole Milk,42.0 kcal,nan g,2.59 g,3.23 g,nan g,0.23 g,3.45 g,0.57 g,99.0 mg
3824.0,Coconut Milk,54.0 kcal,nan g,4.32 g,8.18 g,0.53 g,0.2 g,2.3 g,0.38 g,nan mg
3825.0,Whole Milk,50.0 kcal,2.45 g,1.57 g,4.51 g,8.1 g,0.76 g,nan g,0.44 g,97.0 mg
3826.0,Oat Milk,72.0 kcal,3.68 g,nan g,10.22 g,1.28 g,0.71 g,6.9 g,0.58 g,136.0 mg
3827.0,Whole Milk,60.0 kcal,3.89 g,0.17 g,8.49 g,3.02 g,0.62 g,7.57 g,0.93 g,135.0 mg
3828.0,2% Milk,nan kcal,1.87 g,3.42 g,nan g,1.41 g,0.43 g,5.72 g,0.27 g,124.0 mg
3829.0,2% Milk,69.0 kcal,2.44 g,0.87 g,2.78 g,1.98 g,0.04 g,5.61 g,0.68 g,88.0 mg
3830.0,Coconut Milk,41.0 kcal,2.21 g,2.68 g,3.01 g,nan g,0.87 g,4.12 g,0.08 g,nan mg
,Whole Milk,65.0 kcal,0.67 g,3.44 g,10.56 g,9.41 g,0.84 g,6.6 g,nan g,105.0 mg
,2% Milk,56.0 kcal,7.32 g,4.55 g,6.25 g,8.15 g,nan g,1.06 g,0.29 g,127.0 mg
3833.0,Soy Milk,62.0 kcal,1.29 g,1.97 g,7.08 g,1.74 g,0.45 g,1.93 g,0.41 g,91.0 mg
3834.0,Coconut Milk,48.0 kcal,5.71 g,1.83 g,11.07 g,2.63 g,0.91 g,7.76 g,0.11 g,123.0 mg
3835.0,Soy Milk,69.0 kcal,1.47 g,1.31 g,5.02 g,7.85 g,0.15 g,7.28 g,0.53 g,119.0 mg
,Whole Milk,47.0 kcal,2.26 g,3.79 g,9.27 g,6.71 g,0.41 g,nan g,0.61 g,150.0 mg
3837.0,Almond Milk,47.0 kcal,nan g,1.29 g,8.0 g,1.56 g,0.06 g,3.95 g,0.93 g,81.0 mg
3838.0,Coconut Milk,54.0 kcal,7.3 g,2.09 g,10.3 g,6.66 g,0.9 g,6.57 g,0.5 g,99.0 mg
3839.0,Cashew Milk,42.0 kcal,3.47 g,1.31 g,10.37 g,3.23 g,0.79 g,2.99 g,0.22 g,85.0 mg
3840.0,Cashew Milk,41.0 kcal,6.66 g,3.38 g,6.56 g,4.75 g,0.38 g,6.65 g,0.18 g,80.0 mg
3841.0,Skim Milk,43.0 kcal,1.22 g,1.23 g,4.51 g,3.43 g,0.52 g,2.29 g,0.86 g,nan mg
3842.0,Almond Milk,76.0 kcal,7.99 g,2.24 g,7.47 g,9.12 g,0.92 g,6.03 g,0.99 g,97.0 mg
3843.0,Cashew Milk,41.0 kcal,7.02 g,4.91 g,7.15 g,1.49 g,0.8 g,2.84 g,0.12 g,141.0 mg
3844.0,Oat Milk,65.0 kcal,1.12 g,1.55 g,nan g,4.81 g,0.93 g,3.25 g,0.55 g,88.0 mg
3845.0,Cashew Milk,65.0 kcal,5.0 g,2.74 g,2.4 g,5.05 g,0.17 g,5.25 g,0.52 g,94.0 mg
3846.0,,54.0 kcal,7.07 g,0.27 g,2.83 g,3.73 g,0.46 g,1.81 g,0.09 g,118.0 mg
3847.0,Almond Milk,77.0 kcal,5.23 g,3.14 g,6.59 g,0.67 g,nan g,7.78 g,0.03 g,97.0 mg
3848.0,Oat Milk,nan kcal,6.38 g,2.08 g,5.55 g,9.63 g,0.25 g,2.0 g,0.64 g,103.0 mg
3849.0,Almond Milk,47.0 kcal,nan g,nan g,11.33 g,0.88 g,0.72 g,7.77 g,0.92 g,nan mg
3850.0,Skim Milk,42.0 kcal,0.74 g,2.56 g,3.57 g,nan g,0.73 g,7.67 g,0.13 g,88.0 mg
3851.0,2% Milk,43.0 kcal,5.84 g,4.81 g,2.14 g,7.98 g,0.88 g,6.04 g,0.13 g,142.0 mg
3852.0,,56.0 kcal,6.12 g,1.11 g,2.69 g,2.69 g,0.84 g,5.78 g,nan g,122.0 mg
3853.0,Almond Milk,80.0 kcal,7.65 g,4.66 g,5.81 g,1.78 g,0.33 g,2.06 g,0.03 g,117.0 mg
3854.0,2% Milk,72.0 kcal,5.7 g,1.27 g,5.64 g,3.56 g,0.2 g,2.21 g,nan g,121.0 mg
3855.0,Almond Milk,47.0 kcal,5.72 g,3.59 g,2.2 g,5.07 g,0.62 g,6.87 g,0.43 g,124.0 mg
3856.0,Cashew Milk,63.0 kcal,3.15 g,3.61 g,2.39 g,2.21 g,0.25 g,4.14 g,0.13 g,140.0 mg
3857.0,Almond Milk,57.0 kcal,0.69 g,0.26 g,9.19 g,3.85 g,0.59 g,2.85 g,0.29 g,134.0 mg
3858.0,Oat Milk,nan kcal,1.89 g,1.06 g,5.79 g,8.05 g,0.96 g,3.8 g,0.84 g,120.0 mg
3859.0,,56.0 kcal,3.41 g,1.48 g,11.69 g,8.16 g,0.42 g,2.41 g,nan g,87.0 mg
3860.0,Almond Milk,46.0 kcal,4.27 g,nan g,7.87 g,4.51 g,0.32 g,5.03 g,0.42 g,125.0 mg
3861.0,Whole Milk,42.0 kcal,7.01 g,4.48 g,nan g,9.68 g,0.66 g,7.91 g,0.67 g,99.0 mg
3862.0,Coconut Milk,58.0 kcal,4.91 g,1.23 g,10.72 g,6.28 g,0.29 g,3.96 g,nan g,105.0 mg
3863.0,Oat Milk,68.0 kcal,7.55 g,1.6 g,5.32 g,9.96 g,nan g,5.99 g,0.85 g,126.0 mg
3864.0,2% Milk,76.0 kcal,1.29 g,0.57 g,9.17 g,nan g,0.96 g,2.32 g,0.38 g,103.0 mg
3865.0,Cashew Milk,57.0 kcal,3.75 g,2.35 g,9.3 g,nan g,0.51 g,6.73 g,0.45 g,101.0 mg
,Cashew Milk,67.0 kcal,6.06 g,0.66 g,7.69 g,3.1 g,0.28 g,6.6 g,0.17 g,147.0 mg
3867.0,Coconut Milk,45.0 kcal,5.91 g,0.36 g,nan g,9.17 g,0.45 g,6.73 g,0.03 g,nan mg
3868.0,Oat Milk,nan kcal,4.41 g,1.72 g,2.0 g,3.08 g,0.86 g,6.27 g,0.67 g,111.0 mg
3869.0,2% Milk,76.0 kcal,5.8 g,0.24 g,6.92 g,4.49 g,0.02 g,6.08 g,0.33 g,105.0 mg
3870.0,Oat Milk,61.0 kcal,5.25 g,1.75 g,7.42 g,3.66 g,0.86 g,nan g,0.57 g,101.0 mg
3871.0,Coconut Milk,62.0 kcal,1.21 g,1.0 g,11.08 g,5.25 g,0.4 g,4.12 g,0.48 g,107.0 mg
3872.0,Oat Milk,69.0 kcal,5.39 g,0.36 g,11.42 g,7.69 g,0.1 g,1.29 g,0.49 g,130.0 mg
3873.0,Cashew Milk,70.0 kcal,7.41 g,3.1 g,nan g,9.14 g,0.04 g,5.72 g,0.41 g,136.0 mg
3874.0,,nan kcal,2.21 g,nan g,4.75 g,0.66 g,nan g,3.55 g,0.08 g,96.0 mg
3875.0,Coconut Milk,42.0 kcal,6.63 g,nan g,10.33 g,3.25 g,nan g,4.61 g,0.41 g,145.0 mg
3876.0,Oat Milk,57.0 kcal,5.67 g,4.42 g,5.01 g,nan g,0.32 g,3.08 g,0.5 g,101.0 mg
3877.0,Skim Milk,40.0 kcal,2.2 g,2.6 g,3.08 g,1.24 g,0.12 g,6.19 g,0.76 g,112.0 mg
3878.0,Oat Milk,70.0 kcal,7.06 g,4.57 g,9.62 g,5.39 g,0.99 g,6.49 g,0.88 g,119.0 mg
3879.0,2% Milk,54.0 kcal,5.09 g,0.8 g,6.63 g,1.18 g,0.67 g,4.94 g,0.32 g,103.0 mg
,Almond Milk,77.0 kcal,6.6 g,2.56 g,3.85 g,7.34 g,0.33 g,3.24 g,0.19 g,102.0 mg
3881.0,,43.0 kcal,2.7 g,3.72 g,1.07 g,4.88 g,0.95 g,7.64 g,0.07 g,109.0 mg
3882.0,Skim Milk,45.0 kcal,5.33 g,1.37 g,1.3 g,2.42 g,0.21 g,6.51 g,0.04 g,121.0 mg
3883.0,Oat Milk,54.0 kcal,0.87 g,3.85 g,7.59 g,nan g,0.02 g,4.15 g,0.21 g,nan mg
3884.0,Skim Milk,64.0 kcal,7.21 g,1.69 g,5.8 g,8.13 g,0.36 g,1.39 g,0.17 g,133.0 mg
,Whole Milk,74.0 kcal,1.32 g,1.59 g,2.54 g,0.78 g,0.44 g,7.28 g,0.24 g,95.0 mg
,Soy Milk,47.0 kcal,4.25 g,4.35 g,10.28 g,4.3 g,0.55 g,7.53 g,0.37 g,80.0 mg
3887.0,2% Milk,54.0 kcal,3.9 g,2.08 g,6.94 g,3.35 g,0.97 g,2.05 g,0.85 g,124.0 mg
,Almond Milk,58.0 kcal,6.26 g,nan g,4.61 g,5.94 g,0.46 g,6.8 g,0.06 g,130.0 mg
3889.0,Skim Milk,70.0 kcal,1.06 g,4.75 g,6.06 g,7.11 g,0.32 g,1.31 g,0.46 g,125.0 mg
3890.0,Cashew Milk,45.0 kcal,nan g,2.9 g,3.14 g,7.28 g,0.35 g,3.6 g,0.95 g,129.0 mg
3891.0,2% Milk,54.0 kcal,1.03 g,1.66 g,1.45 g,nan g,0.01 g,nan g,0.54 g,80.0 mg
3892.0,Skim Milk,nan kcal,6.07 g,3.68 g,2.95 g,4.18 g,0.33 g,6.15 g,0.96 g,97.0 mg
3893.0,Coconut Milk,67.0 kcal,7.29 g,0.13 g,10.72 g,1.28 g,0.36 g,nan g,0.46 g,87.0 mg
3894.0,Cashew Milk,44.0 kcal,5.08 g,nan g,2.18 g,5.73 g,0.38 g,nan g,0.95 g,137.0 mg
,2% Milk,65.0 kcal,3.54 g,2.49 g,1.83 g,4.75 g,0.04 g,4.94 g,0.44 g,104.0 mg
3896.0,Coconut Milk,69.0 kcal,6.29 g,2.14 g,8.81 g,3.49 g,0.26 g,nan g,0.14 g,123.0 mg
3897.0,Cashew Milk,74.0 kcal,nan g,4.94 g,3.42 g,7.91 g,0.37 g,3.49 g,0.09 g,132.0 mg
3898.0,Almond Milk,54.0 kcal,7.25 g,1.86 g,10.22 g,1.02 g,0.72 g,2.52 g,0.94 g,82.0 mg
3899.0,,nan kcal,6.77 g,1.86 g,9.59 g,nan g,0.01 g,2.88 g,0.52 g,104.0 mg
3900.0,Oat Milk,79.0 kcal,nan g,4.78 g,5.1 g,9.18 g,0.85 g,7.11 g,0.9 g,83.0 mg
3901.0,Skim Milk,72.0 kcal,7.78 g,2.61 g,7.21 g,1.25 g,0.13 g,3.84 g,0.03 g,90.0 mg
3902.0,Cashew Milk,71.0 kcal,7.0 g,3.09 g,1.23 g,2.98 g,0.07 g,3.47 g,0.57 g,122.0 mg
3903.0,Oat Milk,63.0 kcal,3.52 g,0.35 g,2.69 g,3.64 g,0.08 g,2.7 g,0.79 g,149.0 mg
3904.0,Oat Milk,77.0 kcal,7.63 g,0.91 g,9.78 g,7.79 g,0.09 g,4.2 g,0.73 g,141.0 mg
3905.0,Skim Milk,53.0 kcal,5.62 g,0.17 g,4.32 g,2.53 g,0.35 g,6.18 g,0.01 g,139.0 mg
3906.0,,53.0 kcal,3.38 g,0.76 g,nan g,2.65 g,0.08 g,1.76 g,0.16 g,84.0 mg
3907.0,Soy Milk,77.0 kcal,nan g,1.38 g,7.64 g,4.27 g,0.04 g,3.46 g,nan g,nan mg
3908.0,Almond Milk,69.0 kcal,7.37 g,4.52 g,9.8 g,4.42 g,0.85 g,5.59 g,0.17 g,103.0 mg
3909.0,Coconut Milk,nan kcal,nan g,1.35 g,2.42 g,1.39 g,0.49 g,1.6 g,0.38 g,86.0 mg
3910.0,Whole Milk,51.0 kcal,nan g,4.93 g,1.29 g,2.2 g,0.39 g,6.55 g,nan g,145.0 mg
3911.0,Cashew Milk,65.0 kcal,7.74 g,4.82 g,2.21 g,5.64 g,0.56 g,4.64 g,1.0 g,nan mg
3912.0,Coconut Milk,80.0 kcal,3.34 g,2.31 g,11.84 g,1.16 g,0.43 g,1.98 g,0.56 g,101.0 mg
3913.0,,54.0 kcal,5.06 g,3.27 g,1.69 g,9.92 g,0.79 g,2.14 g,0.11 g,140.0 mg
3914.0,,50.0 kcal,7.87 g,4.97 g,6.77 g,7.02 g,0.99 g,4.79 g,0.69 g,125.0 mg
3915.0,Coconut Milk,51.0 kcal,2.93 g,0.34 g,nan g,8.06 g,0.61 g,2.08 g,0.3 g,147.0 mg
3916.0,Coconut Milk,49.0 kcal,4.03 g,0.71 g,2.3 g,2.77 g,0.78 g,6.56 g,0.48 g,nan mg
3917.0,Oat Milk,71.0 kcal,0.69 g,nan g,9.6 g,6.66 g,0.9 g,3.86 g,0.51 g,117.0 mg
3918.0,Soy Milk,60.0 kcal,4.25 g,2.5 g,8.08 g,2.46 g,0.23 g,6.65 g,0.48 g,109.0 mg
,Soy Milk,nan kcal,4.89 g,2.35 g,nan g,7.63 g,0.51 g,3.79 g,0.79 g,133.0 mg
3920.0,Oat Milk,nan kcal,3.68 g,0.52 g,nan g,5.89 g,0.26 g,4.98 g,nan g,89.0 mg
3921.0,Skim Milk,nan kcal,5.49 g,1.95 g,10.87 g,7.48 g,0.06 g,nan g,0.39 g,117.0 mg
3922.0,Almond Milk,50.0 kcal,1.72 g,0.86 g,6.36 g,2.1 g,0.42 g,1.4 g,0.6 g,147.0 mg
3923.0,2% Milk,57.0 kcal,2.88 g,nan g,3.79 g,5.55 g,0.27 g,6.78 g,nan g,130.0 mg
3924.0,Skim Milk,66.0 kcal,6.63 g,2.85 g,nan g,1.77 g,0.26 g,1.15 g,0.81 g,150.0 mg
,Skim Milk,47.0 kcal,6.49 g,nan g,8.59 g,1.61 g,0.97 g,6.56 g,0.52 g,103.0 mg
3926.0,Soy Milk,68.0 kcal,5.98 g,3.94 g,1.82 g,nan g,0.54 g,1.66 g,0.24 g,80.0 mg
3927.0,Almond Milk,60.0 kcal,4.83 g,2.69 g,1.46 g,8.52 g,nan g,1.75 g,0.94 g,94.0 mg
3928.0,Oat Milk,71.0 kcal,3.57 g,3.08 g,1.74 g,5.69 g,0.19 g,4.05 g,0.35 g,97.0 mg
3929.0,,nan kcal,6.96 g,4.67 g,4.21 g,6.75 g,0.7 g,6.57 g,0.37 g,97.0 mg
3930.0,Oat Milk,42.0 kcal,3.11 g,1.31 g,3.25 g,7.9 g,0.2 g,2.24 g,0.75 g,120.0 mg
3931.0,Skim Milk,78.0 kcal,3.32 g,4.5 g,1.63 g,7.51 g,0.48 g,4.62 g,0.55 g,nan mg
3932.0,,57.0 kcal,5.73 g,nan g,5.92 g,2.97 g,0.79 g,3.26 g,0.72 g,135.0 mg
3933.0,Almond Milk,78.0 kcal,1.67 g,4.17 g,nan g,3.93 g,0.99 g,3.16 g,0.2 g,110.0 mg
3934.0,,53.0 kcal,3.22 g,nan g,6.1 g,2.94 g,0.51 g,1.85 g,0.06 g,122.0 mg
,2% Milk,nan kcal,7.56 g,2.64 g,8.88 g,3.23 g,0.35 g,nan g,0.26 g,140.0 mg
3936.0,Soy Milk,58.0 kcal,5.89 g,3.58 g,8.28 g,2.41 g,0.06 g,nan g,0.3 g,108.0 mg
3937.0,Cashew Milk,67.0 kcal,3.05 g,1.46 g,6.69 g,8.69 g,0.55 g,7.22 g,0.86 g,83.0 mg
3938.0,2% Milk,47.0 kcal,7.7 g,1.09 g,9.89 g,3.98 g,0.26 g,7.9 g,0.75 g,94.0 mg
3939.0,Soy Milk,56.0 kcal,2.89 g,nan g,5.58 g,7.92 g,0.24 g,nan g,0.23 g,139.0 mg
3940.0,,59.0 kcal,nan g,3.04 g,6.5 g,5.76 g,0.03 g,4.17 g,0.7 g,87.0 mg
3941.0,Cashew Milk,73.0 kcal,7.16 g,1.7 g,2.08 g,6.05 g,0.13 g,nan g,0.33 g,121.0 mg
3942.0,Almond Milk,57.0 kcal,1.53 g,3.69 g,8.52 g,nan g,0.25 g,5.4 g,0.28 g,80.0 mg
3943.0,2% Milk,56.0 kcal,7.36 g,4.84 g,5.34 g,5.07 g,0.5 g,2.72 g,0.94 g,105.0 mg
,2% Milk,48.0 kcal,6.5 g,0.13 g,3.66 g,2.42 g,nan g,7.3 g,0.75 g,90.0 mg
3945.0,Cashew Milk,65.0 kcal,2.17 g,4.89 g,9.78 g,1.99 g,0.39 g,5.62 g,0.69 g,99.0 mg
3946.0,Oat Milk,41.0 kcal,0.92 g,0.43 g,4.85 g,6.96 g,0.25 g,7.12 g,0.35 g,101.0 mg
3947.0,Coconut Milk,49.0 kcal,6.06 g,1.3 g,4.92 g,1.35 g,nan g,1.46 g,0.54 g,124.0 mg
3948.0,Almond Milk,62.0 kcal,7.89 g,0.85 g,6.17 g,5.27 g,0.37 g,4.41 g,0.24 g,102.0 mg
3949.0,Soy Milk,51.0 kcal,4.16 g,1.47 g,9.11 g,3.37 g,0.33 g,1.38 g,0.14 g,125.0 mg
,Cashew Milk,51.0 kcal,2.59 g,4.98 g,7.63 g,2.24 g,0.36 g,4.21 g,0.87 g,129.0 mg
3951.0,,52.0 kcal,nan g,3.44 g,nan g,1.27 g,0.21 g,5.94 g,0.36 g,136.0 mg
3952.0,,55.0 kcal,4.15 g,3.06 g,9.24 g,0.56 g,0.29 g,1.91 g,0.84 g,101.0 mg
3953.0,Almond Milk,nan kcal,3.72 g,4.09 g,7.94 g,9.63 g,0.6 g,1.19 g,0.09 g,87.0 mg
3954.0,Almond Milk,nan kcal,1.85 g,4.28 g,3.98 g,8.59 g,0.59 g,nan g,0.78 g,112.0 mg
3955.0,Whole Milk,72.0 kcal,7.11 g,4.22 g,8.12 g,6.86 g,0.27 g,7.96 g,0.24 g,nan mg
,Almond Milk,45.0 kcal,0.56 g,1.41 g,10.14 g,6.46 g,0.76 g,1.54 g,0.38 g,143.0 mg
3957.0,Almond Milk,67.0 kcal,3.53 g,2.81 g,8.21 g,3.47 g,0.74 g,3.49 g,0.44 g,89.0 mg
3958.0,Almond Milk,54.0 kcal,1.25 g,4.51 g,11.32 g,5.76 g,0.7 g,1.98 g,0.28 g,112.0 mg
3959.0,Whole Milk,nan kcal,7.39 g,1.94 g,7.06 g,5.45 g,0.54 g,5.71 g,0.92 g,nan mg
3960.0,Coconut Milk,44.0 kcal,1.23 g,0.76 g,9.66 g,3.86 g,0.8 g,4.29 g,0.32 g,135.0 mg
3961.0,Oat Milk,59.0 kcal,nan g,0.93 g,2.24 g,6.89 g,nan g,2.8 g,0.46 g,126.0 mg
3962.0,Cashew Milk,65.0 kcal,6.72 g,2.48 g,9.29 g,4.8 g,0.05 g,7.43 g,0.81 g,92.0 mg
3963.0,,58.0 kcal,nan g,2.68 g,5.74 g,4.43 g,0.85 g,1.9 g,0.47 g,119.0 mg
3964.0,Almond Milk,64.0 kcal,1.89 g,3.72 g,3.25 g,4.34 g,0.23 g,5.33 g,0.53 g,149.0 mg
3965.0,Oat Milk,nan kcal,6.49 g,nan g,8.3 g,5.56 g,0.11 g,4.5 g,0.38 g,125.0 mg
3966.0,Whole Milk,58.0 kcal,5.55 g,1.35 g,11.85 g,1.23 g,0.67 g,nan g,0.87 g,97.0 mg
3967.0,Skim Milk,60.0 kcal,5.64 g,0.92 g,10.46 g,1.96 g,0.78 g,4.33 g,0.2 g,132.0 mg
3968.0,Skim Milk,65.0 kcal,6.66 g,0.97 g,2.44 g,5.68 g,0.16 g,7.81 g,0.54 g,118.0 mg
3969.0,Oat Milk,49.0 kcal,3.25 g,0.89 g,10.53 g,9.92 g,0.07 g,6.95 g,0.34 g,145.0 mg
,,46.0 kcal,nan g,4.27 g,2.44 g,8.73 g,0.02 g,nan g,nan g,82.0 mg
3971.0,Skim Milk,65.0 kcal,7.83 g,1.33 g,nan g,nan g,nan g,4.74 g,0.04 g,90.0 mg
,,77.0 kcal,4.56 g,3.33 g,3.56 g,7.14 g,0.43 g,1.93 g,nan g,nan mg
3973.0,Soy Milk,52.0 kcal,5.75 g,3.37 g,5.27 g,8.17 g,0.54 g,5.38 g,0.26 g,106.0 mg
3974.0,Soy Milk,47.0 kcal,nan g,0.63 g,1.15 g,1.1 g,0.92 g,3.5 g,0.51 g,150.0 mg
3975.0,Coconut Milk,74.0 kcal,4.81 g,2.28 g,nan g,9.34 g,0.48 g,6.55 g,0.24 g,nan mg
3976.0,Cashew Milk,74.0 kcal,1.52 g,4.22 g,3.2 g,nan g,nan g,4.52 g,0.19 g,96.0 mg
3977.0,Oat Milk,54.0 kcal,4.39 g,1.59 g,1.13 g,5.32 g,0.5 g,6.82 g,0.65 g,109.0 mg
3978.0,2% Milk,nan kcal,4.28 g,1.09 g,5.9 g,4.41 g,0.63 g,nan g,0.55 g,138.0 mg
3979.0,Almond Milk,75.0 kcal,4.89 g,0.81 g,5.11 g,7.88 g,0.15 g,1.93 g,nan g,83.0 mg
3980.0,Skim Milk,54.0 kcal,2.89 g,0.38 g,7.67 g,5.4 g,0.55 g,6.38 g,0.76 g,137.0 mg
,Skim Milk,52.0 kcal,0.51 g,nan g,5.88 g,7.15 g,0.74 g,6.71 g,0.66 g,89.0 mg
3982.0,Soy Milk,40.0 kcal,6.61 g,1.62 g,9.25 g,7.12 g,0.67 g,7.97 g,0.94 g,142.0 mg
3983.0,Almond Milk,40.0 kcal,1.75 g,nan g,7.55 g,1.42 g,0.68 g,5.02 g,nan g,nan mg
3984.0,Almond Milk,45.0 kcal,1.29 g,0.91 g,7.69 g,5.82 g,0.38 g,4.63 g,0.59 g,128.0 mg
