Id,Product Name,Energy (kcal),Fat Content (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
6772,Soy Milk,52,5.72,1.29,8.03,5.41,0.2,4.8,0.39,124
6773,Almond Milk,70,0.8,4.46,5.62,4.1,0.61,6.63,0.98,98
6774,Soy Milk,54,7.73,2.81,7.32,2.3,0.74,5.51,0.14,91
6775,Cashew Milk,56,6.52,1.83,7.89,8.63,0.1,2.94,0.11,114
6776,Oat Milk,40,3.48,2.5,1.1,6.87,0.57,2.99,0.84,119
6777,Soy Milk,58,2.16,4.61,9.9,5.62,0.1,4.86,0.72,80
6778,Oat Milk,56,1.4,4.87,3.75,6.99,0.87,6.03,0.29,116
6779,Soy Milk,48,1.08,4.14,4.61,2.78,0.62,3.38,0.55,115
6780,Almond Milk,74,3.9,2.13,2.38,5.43,0.45,2.35,0.01,139
6781,Soy Milk,76,6.54,0.81,4.64,2.0,0.52,3.91,0.72,98
6782,Almond Milk,70,6.92,3.86,8.99,6.99,0.68,2.01,0.72,117
6783,Skim Milk,59,3.19,3.15,4.43,3.81,0.02,6.05,0.69,97
6784,Whole Milk,73,2.54,0.34,6.32,9.37,0.56,5.92,0.76,137
6785,Coconut Milk,54,4.23,1.69,8.86,4.43,0.13,3.06,0.72,81
6786,Whole Milk,53,4.71,2.11,1.59,7.35,0.02,2.09,0.41,108
6787,Cashew Milk,62,3.49,0.65,9.07,8.51,0.86,2.76,0.13,127
6788,Skim Milk,54,2.81,2.78,9.95,8.46,0.35,1.97,0.43,127
6789,Cashew Milk,55,2.13,2.58,1.38,7.84,0.82,3.74,0.1,144
6790,Coconut Milk,59,2.25,2.48,6.67,3.74,0.98,2.32,0.58,99
6791,Soy Milk,49,5.62,4.55,6.85,9.67,1.0,4.17,0.43,128
6792,Skim Milk,45,6.66,3.03,6.26,9.4,0.16,5.46,0.21,137
6793,Soy Milk,73,2.27,3.16,10.27,6.43,0.54,6.12,0.64,149
6794,2% Milk,54,3.17,3.4,2.03,9.97,0.48,1.91,0.96,106
6795,Coconut Milk,80,7.68,1.62,9.35,1.09,0.88,1.48,0.97,147
6796,2% Milk,74,4.82,2.62,8.53,9.84,0.13,3.35,0.85,118
6797,Skim Milk,64,1.81,2.62,9.72,7.5,0.81,5.75,0.26,119
6798,Whole Milk,71,7.3,3.6,3.93,5.35,0.94,2.33,0.98,119
6799,Skim Milk,45,6.07,0.83,11.49,8.35,0.31,1.66,0.74,91
6800,Coconut Milk,47,5.36,1.01,8.59,9.3,0.4,2.66,0.31,89
6801,Oat Milk,64,2.74,0.12,6.24,7.97,0.18,3.05,0.74,136
6802,Cashew Milk,51,0.95,4.03,8.29,8.82,0.72,5.87,0.58,103
6803,Whole Milk,43,2.65,0.35,4.7,2.92,0.23,7.34,0.37,111
6804,Coconut Milk,48,2.26,1.35,5.35,4.2,0.13,3.54,0.67,103
6805,2% Milk,70,5.49,4.35,6.09,5.02,0.53,2.83,0.94,91
6806,Skim Milk,50,4.6,4.25,11.43,6.59,0.28,1.51,0.71,104
6807,Soy Milk,64,3.95,0.83,2.55,6.6,0.8,1.43,0.71,136
6808,Whole Milk,42,4.54,1.27,10.73,1.24,0.06,6.2,0.07,94
6809,Oat Milk,61,1.81,0.3,7.69,9.3,0.77,7.82,0.32,116
6810,2% Milk,65,4.68,3.07,6.09,0.98,0.19,6.94,0.7,109
6811,Whole Milk,45,2.14,2.68,5.93,4.36,0.15,3.06,0.49,95
6812,Skim Milk,56,0.59,0.7,3.38,8.66,0.03,2.29,0.7,98
6813,Skim Milk,60,7.62,4.33,4.67,5.93,0.36,5.63,0.93,142
6814,Whole Milk,45,7.64,2.4,9.3,7.4,0.78,4.37,0.62,103
6815,Soy Milk,63,5.43,0.32,2.9,1.19,0.28,5.42,0.25,98
6816,2% Milk,75,7.04,2.58,5.01,4.93,0.88,3.81,0.02,131
6817,Oat Milk,68,5.53,4.82,6.93,7.55,0.03,5.27,0.96,81
6818,2% Milk,48,1.99,3.09,1.59,1.28,0.73,4.98,0.41,104
6819,Coconut Milk,73,3.7,0.69,8.2,2.13,0.77,3.34,0.39,95
6820,Oat Milk,78,4.78,3.11,4.58,3.66,0.99,6.69,0.88,87
6821,Almond Milk,42,1.27,0.86,11.58,4.33,0.91,4.22,0.71,100
6822,Almond Milk,41,3.44,4.14,1.61,1.13,0.05,5.41,0.71,121
6823,Almond Milk,48,6.24,2.61,2.6,4.12,0.2,2.66,0.47,101
6824,Coconut Milk,64,3.07,3.86,8.52,4.64,0.88,7.94,0.38,91
6825,Cashew Milk,73,6.72,4.68,9.24,2.86,0.61,4.55,0.34,136
6826,Skim Milk,40,2.92,0.11,7.16,9.22,0.92,6.57,0.7,129
6827,Skim Milk,57,1.16,3.09,2.08,3.74,0.09,1.59,0.46,142
6828,Whole Milk,46,6.27,2.88,3.6,4.96,0.71,2.73,0.79,97
6829,2% Milk,54,6.69,4.77,4.19,8.22,0.38,1.19,0.36,127
6830,Whole Milk,65,5.25,3.02,2.81,9.56,0.57,7.81,0.35,106
6831,Almond Milk,64,7.87,3.08,6.23,8.86,0.14,7.41,0.68,125
6832,Cashew Milk,43,4.6,3.65,3.76,1.82,0.59,3.32,0.53,144
6833,2% Milk,43,7.16,4.41,5.8,1.08,0.84,3.85,0.3,107
6834,Almond Milk,68,7.6,2.4,1.45,9.01,0.93,4.3,0.63,139
6835,Almond Milk,77,6.68,4.13,10.63,1.9,0.83,3.42,0.4,100
6836,Coconut Milk,48,3.99,4.42,6.28,5.19,0.03,7.44,0.72,145
6837,Whole Milk,62,4.4,0.56,3.19,2.18,0.7,1.99,0.24,113
6838,Cashew Milk,58,2.35,2.61,8.37,8.52,0.59,3.27,0.69,86
6839,Whole Milk,44,7.33,4.15,1.15,9.91,0.89,3.74,0.13,95
6840,Almond Milk,41,4.48,4.7,5.97,9.41,0.88,6.31,0.27,126
6841,Skim Milk,53,3.13,2.41,8.1,0.64,0.79,3.5,0.34,149
6842,Soy Milk,57,1.98,4.16,10.6,0.93,0.17,1.79,0.12,103
6843,Coconut Milk,65,6.2,2.81,1.42,1.97,0.41,5.48,0.32,115
6844,Skim Milk,59,7.59,2.65,9.24,0.74,0.79,3.42,0.57,121
6845,Whole Milk,43,7.81,3.16,1.26,8.81,0.86,5.22,0.36,114
6846,Cashew Milk,47,6.31,0.34,10.36,2.27,0.82,7.6,0.6,110
6847,Coconut Milk,70,0.83,1.65,3.45,5.64,0.04,6.72,0.83,119
6848,Whole Milk,65,5.49,4.55,3.0,2.39,0.51,5.5,0.48,102
6849,Cashew Milk,55,3.51,3.76,9.79,2.59,0.87,6.78,0.64,109
6850,Oat Milk,54,4.68,1.91,6.92,8.48,0.47,2.25,0.38,82
6851,Coconut Milk,63,5.93,2.48,3.07,1.14,0.62,7.0,0.45,88
6852,Oat Milk,80,6.52,1.98,11.07,1.38,0.74,1.13,0.81,123
6853,2% Milk,76,1.81,3.27,10.92,1.22,0.0,6.36,0.1,125
6854,Almond Milk,63,5.27,2.62,9.38,1.37,0.86,1.92,0.84,124
6855,Coconut Milk,41,1.08,1.2,6.91,3.7,0.23,6.12,0.77,150
6856,Almond Milk,75,5.26,1.22,8.23,8.04,0.67,1.43,0.28,126
6857,2% Milk,75,7.27,1.66,3.08,4.05,0.82,2.3,0.35,123
6858,Skim Milk,51,4.02,3.41,4.27,3.88,0.69,2.98,0.98,118
6859,Skim Milk,47,1.18,2.85,9.57,3.88,0.17,6.4,0.85,101
6860,Oat Milk,73,7.28,4.7,8.38,0.53,0.77,5.31,0.18,107
6861,Almond Milk,64,3.6,1.24,6.52,8.89,0.11,2.07,0.42,99
6862,Almond Milk,43,1.36,3.63,7.81,9.4,0.54,1.54,0.31,82
6863,Cashew Milk,70,5.78,2.91,1.58,9.9,0.77,7.78,0.66,84
6864,Coconut Milk,41,0.58,1.21,1.29,3.84,0.43,6.84,1.0,102
6865,Almond Milk,48,5.01,2.23,1.53,0.81,0.59,7.29,0.7,114
6866,Oat Milk,76,2.7,4.66,9.27,9.64,0.18,4.15,0.18,118
6867,Whole Milk,50,7.27,1.93,7.91,1.99,0.75,6.91,0.66,90
6868,Soy Milk,79,3.77,3.66,3.12,1.19,0.34,6.92,0.1,96
6869,Skim Milk,64,4.25,3.68,7.44,8.13,0.04,2.58,0.03,130
6870,2% Milk,63,2.1,1.08,10.4,2.92,0.18,5.21,0.37,140
6871,Almond Milk,65,0.86,3.36,4.43,5.61,0.77,7.8,0.62,124
6872,2% Milk,48,1.77,1.13,7.57,0.66,0.4,4.91,0.12,127
6873,Skim Milk,79,3.22,0.31,5.55,5.14,0.96,3.08,0.01,150
6874,Skim Milk,69,2.16,1.54,1.29,4.04,0.14,6.94,0.82,90
6875,Cashew Milk,78,6.84,0.74,1.84,3.63,0.68,2.93,0.8,121
6876,2% Milk,64,3.28,2.27,5.48,1.95,0.25,4.88,0.24,115
6877,Cashew Milk,62,1.14,4.44,4.65,8.75,0.9,3.83,0.35,124
6878,Coconut Milk,79,3.6,2.36,5.82,7.42,0.76,4.67,0.02,113
6879,Coconut Milk,42,4.63,3.07,11.93,9.38,0.07,3.71,0.19,120
6880,Coconut Milk,73,2.57,4.64,11.14,8.92,0.24,7.08,0.7,115
6881,Cashew Milk,58,0.7,4.36,7.07,2.91,0.79,1.72,0.52,89
6882,Coconut Milk,42,0.51,3.66,8.77,7.71,0.28,1.56,0.13,88
6883,Whole Milk,43,3.37,0.91,2.87,2.96,0.01,6.72,0.7,96
6884,Whole Milk,71,5.67,4.41,11.07,8.79,0.78,4.61,0.75,117
6885,Cashew Milk,67,3.97,3.53,9.86,5.02,0.52,4.21,0.3,115
6886,Whole Milk,76,4.86,0.5,10.48,1.44,0.65,4.6,0.83,89
6887,Whole Milk,49,5.14,4.54,11.34,9.94,0.86,3.42,0.59,112
6888,Cashew Milk,50,1.65,4.67,2.82,5.06,0.18,3.06,0.91,95
6889,Coconut Milk,71,4.51,0.16,8.76,7.68,0.72,2.29,0.92,130
6890,Whole Milk,68,3.02,2.91,4.24,4.31,0.55,2.99,0.98,144
6891,Cashew Milk,62,1.45,4.8,10.6,9.95,0.81,5.28,0.79,88
6892,Soy Milk,80,5.93,2.49,5.51,9.18,0.77,1.07,0.61,108
6893,Skim Milk,64,1.75,2.7,1.88,3.03,0.66,5.58,0.87,91
6894,Skim Milk,55,4.56,2.55,7.44,8.05,0.23,5.21,0.67,87
6895,Oat Milk,43,7.76,0.75,8.56,4.74,0.29,6.0,0.42,101
6896,Cashew Milk,58,3.23,3.47,7.83,9.65,0.14,6.82,0.37,126
6897,Skim Milk,49,1.66,4.92,11.56,4.9,0.17,6.29,1.0,141
6898,Skim Milk,67,5.36,2.62,5.2,5.47,0.24,5.93,0.66,123
6899,Cashew Milk,61,5.55,1.15,7.37,7.85,0.45,3.8,0.74,148
6900,Skim Milk,61,4.67,0.28,9.25,5.96,0.18,6.95,0.37,147
6901,Soy Milk,65,0.71,2.39,1.84,6.11,0.2,4.96,0.83,114
6902,2% Milk,65,2.22,1.35,3.07,9.0,0.63,3.56,0.07,106
6903,Almond Milk,56,1.72,0.86,2.88,1.87,0.38,5.3,0.8,134
6904,Oat Milk,64,5.25,4.6,10.4,6.93,0.93,4.81,0.96,122
6905,Skim Milk,63,3.13,3.54,9.38,4.84,0.9,4.43,0.41,128
6906,Coconut Milk,72,7.2,4.13,3.49,2.3,0.71,2.09,0.24,105
6907,Soy Milk,65,2.06,3.18,8.67,1.48,0.42,3.66,0.83,98
6908,Whole Milk,42,6.53,3.58,6.7,8.94,0.14,7.34,1.0,99
6909,Cashew Milk,69,3.48,1.32,3.07,7.54,0.09,4.42,0.58,80
6910,Coconut Milk,80,5.58,3.18,11.4,4.26,0.05,4.96,0.25,127
6911,Soy Milk,61,1.04,4.22,5.94,6.41,0.41,7.41,0.05,81
6912,Almond Milk,56,3.37,3.18,6.77,3.98,0.15,4.6,0.48,113
6913,Whole Milk,58,2.89,2.93,3.59,8.46,0.52,6.92,0.28,118
6914,Soy Milk,66,6.34,4.91,2.27,3.57,0.83,2.72,0.2,104
6915,2% Milk,61,7.64,3.16,4.16,7.67,0.89,5.98,0.56,85
6916,Almond Milk,51,0.57,1.53,2.79,3.52,0.95,3.63,0.99,143
6917,Skim Milk,44,3.98,4.8,4.92,6.89,0.3,4.91,0.03,82
6918,Coconut Milk,66,7.84,0.99,10.68,2.06,0.85,3.1,0.58,112
6919,Soy Milk,76,1.54,1.33,6.77,1.9,0.95,3.02,0.65,121
6920,Coconut Milk,68,0.73,4.0,3.65,0.9,0.33,3.43,0.27,131
6921,Oat Milk,53,4.71,0.14,9.5,3.76,0.38,3.95,0.71,90
6922,Coconut Milk,47,3.45,2.62,5.01,7.29,0.53,4.65,0.52,104
6923,Skim Milk,45,3.53,2.63,7.5,8.43,0.24,7.2,0.05,129
6924,Oat Milk,66,3.11,3.75,6.64,6.65,0.86,1.76,0.84,121
6925,Whole Milk,68,4.93,4.69,1.61,7.01,0.42,4.3,0.85,88
6926,2% Milk,43,2.88,4.48,9.06,5.71,0.18,7.71,0.66,91
6927,Skim Milk,55,1.48,2.57,8.99,6.58,0.8,2.79,0.4,114
6928,Skim Milk,69,7.4,1.9,3.93,2.35,0.81,2.77,0.5,93
6929,2% Milk,46,4.86,4.79,1.05,2.35,0.4,7.13,0.9,90
6930,Soy Milk,73,5.64,2.41,6.99,4.8,0.05,6.76,0.22,122
6931,Cashew Milk,58,2.65,2.94,6.01,3.17,0.46,2.15,0.18,108
6932,Oat Milk,51,4.55,2.42,11.67,1.4,0.4,7.06,0.82,89
6933,Cashew Milk,51,6.46,3.81,11.66,3.01,0.54,5.55,0.76,104
6934,Soy Milk,66,1.91,4.27,10.12,4.67,0.56,3.99,0.53,109
6935,Skim Milk,53,1.7,4.76,2.34,9.51,0.49,2.53,0.7,100
6936,2% Milk,78,4.09,0.9,3.59,3.34,0.98,6.48,0.67,87
6937,Soy Milk,74,6.06,1.85,1.42,6.1,0.54,1.57,0.06,117
6938,Soy Milk,56,1.84,3.22,3.77,2.26,0.96,4.93,0.69,150
6939,2% Milk,43,7.64,4.69,1.22,4.97,0.01,3.68,0.21,109
6940,Soy Milk,64,6.42,0.88,11.5,9.7,0.27,5.63,0.98,83
6941,Soy Milk,77,5.25,4.5,6.25,7.95,0.31,4.32,0.26,121
6942,Almond Milk,48,7.24,2.73,6.33,9.76,0.82,1.08,0.68,140
6943,Coconut Milk,69,4.89,1.96,11.49,6.44,0.79,5.17,0.87,107
6944,Skim Milk,40,3.16,2.17,3.22,3.25,0.55,6.57,0.44,129
6945,Skim Milk,53,7.89,4.36,11.79,1.41,0.95,3.72,0.77,148
6946,Skim Milk,70,2.12,1.71,11.13,9.1,0.85,5.54,0.03,102
6947,2% Milk,49,4.32,0.62,1.83,5.73,0.77,1.45,0.51,108
6948,Cashew Milk,48,6.25,2.48,9.86,3.83,0.04,1.88,0.37,127
6949,2% Milk,62,2.82,3.35,3.09,6.86,0.96,5.39,0.77,87
6950,Coconut Milk,48,4.47,4.83,11.31,1.2,0.39,1.59,0.3,143
6951,Oat Milk,77,5.75,1.09,7.01,2.62,0.44,1.4,0.25,134
6952,Soy Milk,67,4.44,2.58,7.4,3.36,0.37,2.13,0.08,123
6953,Skim Milk,57,4.09,4.07,5.08,6.85,0.27,7.85,0.5,122
6954,Cashew Milk,49,0.77,3.28,11.96,9.22,0.62,1.79,0.59,142
6955,Skim Milk,75,5.9,2.77,10.42,6.41,0.6,4.06,0.36,142
6956,Oat Milk,74,0.97,1.22,5.78,9.44,0.19,7.64,0.3,123
6957,Skim Milk,47,0.81,1.24,8.92,4.87,0.36,4.2,0.16,101
6958,Soy Milk,57,7.32,1.49,1.76,4.32,0.22,3.31,0.79,135
6959,Skim Milk,64,6.97,3.31,10.29,5.39,0.13,6.47,0.74,114
6960,Soy Milk,62,7.03,0.58,5.23,8.79,0.97,3.49,0.14,125
6961,Almond Milk,64,3.96,3.13,7.66,2.95,0.14,7.19,0.74,82
6962,Cashew Milk,47,2.49,4.19,3.99,2.82,0.21,3.3,0.2,134
6963,Cashew Milk,67,1.3,4.04,6.27,2.18,0.78,4.95,0.55,88
6964,Oat Milk,49,5.84,2.62,11.31,7.93,0.1,1.33,0.51,101
6965,Soy Milk,49,2.06,1.2,2.01,3.77,0.24,6.37,0.15,141
6966,Almond Milk,46,3.28,3.98,10.52,9.14,0.77,4.65,0.79,100
6967,Coconut Milk,62,5.96,0.58,8.25,0.86,0.19,1.07,0.62,84
6968,Whole Milk,62,7.28,2.05,9.16,7.66,0.69,7.53,0.19,95
6969,2% Milk,80,7.78,3.76,11.49,3.57,0.69,3.83,0.89,83
6970,Almond Milk,54,6.41,2.7,1.86,1.77,0.47,2.33,0.06,106
6971,Oat Milk,73,0.53,0.5,6.9,1.82,0.07,2.95,0.37,140
6972,Whole Milk,69,6.1,4.81,6.6,4.54,0.96,3.11,0.72,145
6973,Whole Milk,57,4.33,4.66,6.11,7.42,0.82,6.22,0.74,103
6974,Soy Milk,43,7.5,3.32,7.89,2.43,0.09,6.84,0.09,107
6975,Oat Milk,63,5.23,2.79,8.08,8.27,0.36,2.19,0.25,90
6976,Skim Milk,67,1.57,3.2,7.66,2.91,0.22,6.03,0.62,97
6977,Almond Milk,42,6.47,1.87,11.65,7.29,0.57,2.09,0.0,149
6978,2% Milk,75,4.51,2.48,7.02,1.7,0.1,7.8,0.84,85
6979,Skim Milk,52,2.24,4.07,10.14,8.55,0.28,7.88,0.31,120
6980,Soy Milk,57,2.47,1.4,7.6,5.57,0.43,6.56,0.65,89
6981,Cashew Milk,50,2.67,4.39,6.97,4.87,0.12,4.65,0.89,144
6982,2% Milk,40,4.96,1.49,9.24,8.85,0.37,1.27,0.89,86
6983,Coconut Milk,63,7.77,0.59,6.27,9.76,0.28,6.37,0.26,149
6984,Whole Milk,80,2.16,0.62,10.4,7.67,0.78,4.98,0.28,145
6985,Whole Milk,69,3.08,1.48,4.5,0.88,0.13,1.93,0.84,87
6986,Skim Milk,76,5.2,3.08,4.98,2.73,0.12,3.7,0.87,149
6987,Cashew Milk,55,0.79,3.29,8.16,5.75,0.02,3.0,0.32,120
6988,Oat Milk,47,2.38,4.63,7.53,8.96,0.99,7.37,0.07,124
6989,Almond Milk,67,1.59,2.51,10.23,5.56,0.02,2.51,0.67,111
6990,Whole Milk,67,4.57,2.26,6.68,1.57,0.61,3.65,0.62,80
6991,Coconut Milk,44,5.06,4.8,2.66,5.49,0.02,5.98,0.25,146
6992,Soy Milk,65,2.1,2.04,3.22,6.95,0.24,5.84,0.16,99
6993,Almond Milk,70,4.61,1.32,1.82,9.6,0.14,4.0,0.47,82
6994,Coconut Milk,63,3.4,2.55,3.56,8.34,0.39,3.31,0.37,117
6995,Oat Milk,45,7.49,2.7,8.64,9.42,0.77,4.78,0.24,132
6996,Whole Milk,79,2.39,2.38,1.34,7.43,0.48,2.19,0.15,129
6997,Whole Milk,50,6.14,1.39,7.2,1.38,0.33,1.25,0.91,85
6998,Soy Milk,60,6.89,0.56,5.58,8.79,0.92,2.3,0.25,126
6999,Cashew Milk,40,3.36,4.4,10.3,7.77,0.94,7.91,0.66,130
7000,Almond Milk,41,6.27,4.93,1.27,9.15,0.25,6.99,0.47,133
7001,Oat Milk,77,7.75,2.89,5.03,5.74,0.69,5.44,0.21,113
7002,Oat Milk,46,1.4,3.04,5.33,3.68,0.87,5.46,0.06,109
7003,Coconut Milk,63,0.68,0.14,3.53,0.67,0.26,2.8,0.83,131
7004,Soy Milk,59,5.78,2.9,5.16,5.96,0.31,4.25,0.09,83
7005,Soy Milk,41,7.79,4.74,7.39,9.42,0.78,6.85,0.55,103
7006,Almond Milk,59,4.2,0.77,8.17,3.14,0.72,3.76,0.29,122
7007,Cashew Milk,71,4.26,1.65,2.07,6.85,0.1,3.96,0.63,92
7008,Almond Milk,41,1.58,4.63,4.52,1.59,0.75,5.46,0.12,82
7009,Whole Milk,77,3.19,2.89,5.35,2.55,0.35,6.23,0.71,83
7010,Oat Milk,45,0.69,4.88,7.29,8.63,0.59,6.53,0.5,114
7011,Oat Milk,67,2.47,1.25,11.85,5.66,0.56,6.92,0.38,99
7012,Coconut Milk,43,0.65,1.67,10.52,3.24,0.92,2.94,0.1,125
7013,Coconut Milk,63,1.0,4.11,7.67,4.6,0.72,5.9,0.07,92
7014,2% Milk,75,2.86,4.55,6.62,9.79,0.95,2.26,0.65,150
7015,Coconut Milk,66,3.58,3.21,2.12,5.15,0.75,5.98,0.37,139
7016,Coconut Milk,58,3.42,3.56,2.07,4.7,0.55,6.5,0.29,108
7017,Soy Milk,55,6.38,2.79,8.9,5.91,0.59,5.33,0.97,125
7018,Almond Milk,69,6.34,0.6,8.15,9.55,0.32,2.0,0.18,89
7019,Almond Milk,79,6.98,1.66,4.9,5.31,0.76,1.8,0.06,144
7020,Oat Milk,69,3.63,2.59,7.69,7.59,0.07,4.13,0.25,123
7021,Coconut Milk,46,6.29,3.14,5.05,4.09,0.13,4.18,0.4,113
7022,Almond Milk,61,5.42,4.38,7.8,5.24,0.48,7.02,0.54,108
7023,Oat Milk,64,5.5,4.68,1.66,2.96,0.4,5.56,0.9,117
7024,2% Milk,72,5.41,0.18,4.43,7.17,0.84,6.47,0.62,98
7025,Whole Milk,54,4.14,3.58,4.74,8.2,0.86,4.62,0.86,106
7026,Almond Milk,58,4.05,3.89,4.35,7.81,0.43,3.47,0.66,93
7027,2% Milk,51,3.62,2.7,9.34,4.96,0.47,3.39,0.6,137
7028,Almond Milk,56,5.74,3.76,2.72,4.27,0.13,4.13,0.07,138
7029,Oat Milk,49,6.34,0.67,1.43,8.81,0.75,2.75,0.05,111
7030,Whole Milk,51,4.35,1.86,6.19,4.69,0.68,4.04,0.23,124
7031,Whole Milk,57,4.45,2.83,7.45,7.79,0.42,6.81,0.36,90
7032,Skim Milk,51,6.58,1.85,3.06,5.56,0.14,2.28,0.15,147
7033,Soy Milk,72,0.56,3.9,7.79,8.72,0.06,2.86,0.51,104
7034,2% Milk,71,1.05,3.9,3.61,1.55,0.17,6.5,0.08,98
7035,Skim Milk,40,4.75,2.14,3.53,6.45,0.3,5.81,0.51,128
7036,Whole Milk,62,6.81,2.96,7.54,5.56,0.81,4.62,0.83,110
7037,Oat Milk,75,5.29,4.17,6.22,9.63,0.15,4.22,0.59,139
7038,2% Milk,41,7.1,3.97,7.55,5.58,0.81,1.58,0.29,149
7039,Whole Milk,64,1.72,1.09,4.67,9.98,0.63,7.05,0.21,113
7040,Cashew Milk,73,7.47,0.52,11.11,1.95,0.02,3.65,0.85,136
7041,Soy Milk,53,2.13,3.78,9.15,6.59,0.98,5.67,0.54,91
7042,Cashew Milk,73,7.35,0.21,9.96,5.83,0.42,4.36,0.86,123
7043,Oat Milk,47,4.37,4.23,11.27,9.14,0.24,3.51,0.34,114
7044,Almond Milk,60,2.37,1.26,10.01,4.48,0.08,4.29,0.71,128
7045,Coconut Milk,70,0.8,3.01,7.43,5.48,0.55,7.95,0.13,143
7046,Soy Milk,40,0.54,4.42,1.19,6.28,0.78,6.79,0.48,129
7047,Skim Milk,76,7.05,1.63,5.54,7.17,0.28,2.15,0.87,136
7048,Soy Milk,70,2.31,0.57,10.07,1.45,0.77,4.0,0.65,138
7049,Soy Milk,63,6.48,1.1,9.24,4.31,0.71,7.61,0.08,137
7050,Skim Milk,67,0.91,0.1,3.54,3.14,0.48,1.69,0.7,88
7051,Whole Milk,69,3.08,0.62,2.21,1.66,0.01,6.31,0.9,139
7052,Skim Milk,41,3.77,2.35,10.77,8.49,0.92,7.53,0.73,149
7053,Oat Milk,64,5.64,3.37,11.48,0.53,0.99,7.59,0.94,87
7054,Coconut Milk,41,1.23,1.44,6.2,6.89,0.06,2.3,0.82,80
7055,Coconut Milk,76,4.92,2.32,1.63,4.06,0.17,3.6,0.47,94
7056,Whole Milk,45,4.88,1.23,5.4,7.75,0.71,2.05,0.89,106
7057,Whole Milk,76,1.66,1.68,8.13,5.43,0.41,2.76,0.32,117
7058,Coconut Milk,52,1.39,4.12,9.84,3.68,0.13,5.43,0.08,147
7059,Soy Milk,65,7.18,1.75,10.74,6.45,0.53,1.42,0.04,113
7060,2% Milk,70,3.04,2.05,8.37,7.49,0.92,7.7,0.69,135
7061,Coconut Milk,75,7.26,2.37,7.26,1.65,0.68,7.03,0.68,117
7062,Cashew Milk,67,7.18,2.36,5.76,4.0,0.57,2.76,0.5,110
7063,Cashew Milk,46,7.04,0.67,11.86,7.7,0.69,4.8,0.43,123
7064,Soy Milk,43,6.16,2.63,4.94,3.8,0.9,2.32,0.19,143
7065,Cashew Milk,72,1.12,3.66,8.31,9.0,0.99,2.63,0.22,145
7066,Coconut Milk,58,7.41,0.93,8.86,9.03,0.92,3.28,0.79,93
7067,Almond Milk,51,6.78,2.33,7.84,2.47,0.64,7.03,0.27,129
7068,Almond Milk,50,1.89,4.78,1.49,2.48,0.63,5.91,0.36,137
7069,Coconut Milk,42,3.57,2.4,6.04,9.7,0.02,4.98,0.12,111
7070,Soy Milk,59,4.25,4.44,1.47,8.11,0.05,2.49,0.83,136
7071,Cashew Milk,42,1.37,0.75,10.0,1.4,0.48,3.05,0.9,131
7072,Whole Milk,73,7.96,2.81,8.25,3.34,0.66,2.28,0.07,136
7073,Skim Milk,55,0.8,1.01,1.12,4.21,0.44,6.46,0.41,105
7074,Oat Milk,52,5.42,4.36,4.89,5.71,0.52,5.08,0.18,101
7075,Almond Milk,69,4.27,0.72,8.05,8.23,0.43,2.94,0.91,81
7076,Almond Milk,62,1.35,2.35,9.27,3.09,0.53,5.42,0.27,93
7077,Oat Milk,50,2.82,3.53,4.73,5.56,0.47,6.56,0.35,101
7078,Soy Milk,43,3.32,0.85,7.47,8.23,0.79,5.63,0.14,125
7079,Soy Milk,42,7.55,1.31,11.59,5.36,0.97,5.39,0.37,123
7080,Cashew Milk,76,3.62,2.01,11.08,5.87,0.64,3.89,0.35,87
7081,Oat Milk,77,1.97,0.4,5.94,9.64,0.05,5.79,0.95,84
7082,Cashew Milk,41,3.67,1.84,1.24,9.91,0.2,6.38,0.32,92
7083,Skim Milk,55,7.36,0.64,4.61,1.53,0.22,7.46,0.55,101
7084,Oat Milk,43,7.51,0.56,10.14,7.41,0.76,1.75,0.47,146
7085,Coconut Milk,46,1.64,0.94,5.65,9.68,0.15,6.1,0.33,140
7086,Whole Milk,61,4.97,2.66,11.33,8.09,0.45,2.52,0.89,128
7087,2% Milk,52,1.42,4.56,11.35,9.92,0.5,6.44,0.77,114
7088,Coconut Milk,44,7.59,4.45,8.99,7.52,0.16,2.53,0.84,110
7089,Skim Milk,80,0.59,0.21,3.6,5.27,0.03,6.0,0.08,98
7090,Oat Milk,72,1.38,3.85,6.28,4.02,0.29,4.93,0.35,114
7091,Soy Milk,78,4.65,0.85,3.62,6.54,0.77,1.93,0.23,89
7092,Oat Milk,57,1.12,2.23,7.1,0.99,0.31,2.01,0.51,114
7093,Skim Milk,44,4.48,2.0,11.98,3.45,0.08,5.97,0.32,107
7094,Soy Milk,67,1.37,0.87,9.24,4.91,0.88,6.56,0.62,150
7095,Cashew Milk,42,7.19,1.09,6.6,7.71,0.21,6.74,0.61,139
7096,Almond Milk,69,7.59,0.13,6.75,0.56,0.14,6.85,0.75,140
7097,Whole Milk,56,6.42,3.18,2.15,5.25,0.49,3.25,0.54,106
7098,Oat Milk,44,1.04,4.6,6.65,5.54,0.7,4.19,0.59,88
7099,Cashew Milk,76,2.05,3.71,3.27,9.37,0.33,3.46,0.43,117
7100,2% Milk,68,4.71,2.87,3.4,6.02,0.14,6.63,0.64,144
7101,Whole Milk,54,4.59,1.1,7.42,4.51,0.28,6.71,0.39,117
