Id,Product Name,Energy (kcal),Fat Proportion (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
6144,Whole Milk,76,4.12,4.6,11.64,4.15,0.79,3.08,0.47,91
6145,Coconut Milk,69,2.04,1.29,10.58,5.68,0.35,7.23,0.99,147
6146,Oat Milk,58,4.09,4.28,11.76,7.63,0.77,5.82,0.54,115
6147,Skim Milk,46,1.68,2.99,9.96,5.23,0.37,2.12,0.45,121
6148,Almond Milk,76,2.14,2.39,8.07,3.95,0.12,5.14,0.68,118
6149,Oat Milk,54,1.16,1.62,4.87,5.14,0.92,5.36,0.82,111
6150,Soy Milk,51,6.34,1.12,5.62,8.53,0.98,3.38,0.16,81
6151,2% Milk,69,7.87,0.38,5.72,4.26,0.26,7.51,0.05,126
6152,Oat Milk,54,6.52,1.97,10.0,7.8,0.57,4.49,0.14,136
6153,2% Milk,67,1.31,1.69,5.27,1.89,0.21,1.57,0.58,139
6154,Soy Milk,79,5.07,1.53,10.83,3.83,0.37,5.81,0.35,115
6155,Cashew Milk,50,1.42,3.03,9.64,2.94,0.14,1.67,0.72,98
6156,Coconut Milk,67,6.86,3.34,6.62,7.59,0.1,2.61,0.93,92
6157,Soy Milk,53,6.37,2.62,10.22,3.6,0.06,2.51,0.27,111
6158,Whole Milk,73,0.58,1.01,5.18,1.09,0.8,5.53,0.11,135
6159,Almond Milk,61,5.37,1.69,2.8,6.14,0.09,5.03,0.62,93
6160,Oat Milk,74,7.4,5.0,10.49,2.82,0.62,7.32,0.5,127
6161,Whole Milk,42,2.96,4.4,1.61,6.02,0.17,7.38,0.91,126
6162,Coconut Milk,60,7.97,0.89,5.73,7.89,0.19,3.25,0.63,112
6163,Almond Milk,71,4.81,1.05,11.58,1.6,0.31,3.61,0.7,120
6164,Almond Milk,55,6.99,1.47,1.29,4.3,0.42,2.87,0.39,135
6165,Oat Milk,76,3.99,3.46,5.11,6.11,0.14,1.53,0.21,148
6166,Almond Milk,75,0.91,4.85,9.93,8.96,0.56,5.02,0.05,117
6167,Coconut Milk,48,4.4,1.2,10.3,4.63,0.62,5.32,0.24,93
6168,Oat Milk,62,6.73,3.88,7.67,1.21,0.77,1.47,0.69,118
6169,2% Milk,57,3.36,0.94,10.84,8.95,0.52,3.64,0.33,142
6170,Cashew Milk,56,7.67,4.13,8.87,3.11,0.24,2.61,0.66,129
6171,Oat Milk,53,4.69,0.2,9.42,2.54,0.91,4.27,0.85,90
6172,Whole Milk,48,2.89,2.82,11.9,7.1,0.45,2.29,0.42,118
6173,2% Milk,41,5.8,2.59,2.3,8.44,0.56,1.76,0.18,145
6174,2% Milk,71,1.59,1.02,3.53,9.65,0.77,1.1,0.14,121
6175,Soy Milk,54,4.42,4.89,8.89,3.67,0.51,5.68,0.88,82
6176,Whole Milk,46,6.27,1.93,4.03,5.2,0.0,4.57,0.51,110
6177,Coconut Milk,63,1.38,2.5,11.61,1.9,0.84,5.0,0.47,82
6178,Coconut Milk,40,1.09,3.72,4.61,7.24,0.23,3.22,0.9,89
6179,Whole Milk,48,7.53,3.96,7.52,9.25,0.34,6.24,0.9,138
6180,Skim Milk,80,5.35,1.61,6.58,6.62,0.47,2.79,0.95,147
6181,Cashew Milk,55,6.85,1.73,7.83,7.42,0.54,5.2,0.84,80
6182,Cashew Milk,50,5.41,2.04,9.57,0.55,0.85,1.08,0.53,106
6183,Oat Milk,59,2.76,1.61,1.42,8.58,1.0,7.89,0.24,132
6184,Almond Milk,67,3.5,0.86,10.28,1.51,0.52,7.34,0.17,142
6185,Coconut Milk,52,5.23,4.39,11.0,7.79,0.74,5.36,0.66,142
6186,Whole Milk,63,7.25,4.43,10.81,7.15,0.67,4.43,0.5,125
6187,Whole Milk,78,0.84,2.24,11.43,6.08,0.47,4.33,0.23,145
6188,Almond Milk,70,6.09,3.78,11.5,7.92,0.82,2.0,0.54,140
6189,2% Milk,49,2.28,3.52,7.63,7.92,0.83,1.92,0.4,108
6190,Whole Milk,51,0.54,4.19,7.08,5.22,0.45,1.56,0.31,100
6191,Whole Milk,44,2.62,4.99,9.06,6.48,0.73,4.38,0.28,131
6192,2% Milk,55,6.54,2.52,2.64,2.31,0.36,1.64,0.38,105
6193,Skim Milk,43,3.06,3.17,2.28,3.76,0.62,7.57,0.03,125
6194,Coconut Milk,69,5.82,3.89,11.33,7.6,0.67,3.73,0.92,90
6195,Cashew Milk,73,1.37,0.4,7.71,1.26,0.77,2.14,0.2,127
6196,Whole Milk,43,4.25,1.7,10.45,5.3,0.99,5.7,0.21,120
6197,Oat Milk,58,4.02,3.33,10.67,8.56,0.43,1.38,0.81,121
6198,Cashew Milk,49,2.48,2.24,2.08,1.35,0.05,2.49,0.62,80
6199,Cashew Milk,69,3.73,2.81,6.8,1.07,0.38,5.91,0.92,102
6200,Skim Milk,55,4.06,2.04,9.65,1.3,0.84,4.33,0.54,83
6201,Whole Milk,45,2.9,0.42,5.2,9.21,0.57,7.96,0.43,130
6202,Coconut Milk,68,3.93,2.64,8.81,3.44,0.13,4.65,0.42,112
6203,Whole Milk,76,1.87,0.93,9.9,0.66,0.48,5.33,0.09,128
6204,Skim Milk,49,3.09,4.02,11.74,3.76,0.84,3.52,0.58,112
6205,2% Milk,63,1.94,4.5,6.49,3.07,0.16,5.35,0.01,140
6206,2% Milk,45,5.95,0.1,9.0,2.2,0.67,5.37,0.54,148
6207,Skim Milk,73,7.08,1.06,4.54,9.48,0.17,4.95,0.43,144
6208,2% Milk,67,3.96,2.82,9.15,2.25,0.3,2.52,0.68,102
6209,2% Milk,67,7.43,2.53,10.96,9.09,0.51,5.27,0.75,99
6210,Cashew Milk,76,7.62,3.02,3.9,5.4,0.53,4.15,0.09,114
6211,Almond Milk,48,5.44,2.36,7.72,3.7,0.65,2.76,0.2,142
6212,2% Milk,51,5.54,1.16,3.58,1.54,0.85,1.86,0.44,116
6213,Whole Milk,53,5.08,1.56,8.69,0.6,0.54,3.47,0.06,142
6214,Almond Milk,42,2.73,4.58,10.81,8.5,0.38,3.68,0.25,89
6215,Almond Milk,48,1.36,1.36,5.45,2.04,0.03,4.49,0.77,128
6216,Oat Milk,75,1.05,3.32,4.3,3.94,0.12,4.87,0.3,91
6217,2% Milk,79,4.37,4.38,8.07,6.2,0.95,1.18,0.55,147
6218,Almond Milk,56,0.7,0.3,10.5,9.76,0.06,5.64,0.31,131
6219,2% Milk,46,3.8,0.42,7.18,0.7,0.54,3.76,0.0,101
6220,Whole Milk,49,7.64,3.06,8.26,5.34,0.7,6.35,0.93,115
6221,Coconut Milk,73,3.32,2.37,11.15,4.29,0.06,5.44,0.84,102
6222,Cashew Milk,77,5.44,2.52,10.15,4.47,0.5,4.24,0.43,135
6223,Almond Milk,69,5.47,1.52,5.75,6.16,0.51,5.29,0.19,88
6224,Cashew Milk,79,5.73,1.16,1.24,6.55,0.48,5.78,0.13,133
6225,Skim Milk,43,0.72,0.76,6.97,4.28,0.87,1.9,0.87,110
6226,Skim Milk,53,6.33,0.27,9.75,5.5,0.17,5.25,0.0,106
6227,Oat Milk,69,6.05,4.86,4.74,9.91,0.55,5.46,0.9,120
6228,2% Milk,75,1.54,2.36,11.15,5.94,0.33,7.82,0.63,110
6229,Soy Milk,66,6.04,1.13,1.34,2.11,0.7,6.07,0.5,109
6230,Cashew Milk,53,7.95,2.25,9.2,7.14,0.46,7.52,0.32,109
6231,2% Milk,76,0.74,4.13,11.83,4.56,0.47,5.31,0.37,116
6232,2% Milk,56,6.67,3.55,3.96,0.76,0.24,5.84,0.25,107
6233,Whole Milk,75,4.87,1.83,3.7,8.34,0.4,3.71,0.57,146
6234,Cashew Milk,57,1.42,3.33,9.18,7.31,0.16,7.6,0.84,84
6235,2% Milk,79,2.86,3.51,8.51,7.79,0.73,1.09,0.48,87
6236,Cashew Milk,76,1.81,3.45,7.19,8.13,0.06,7.96,0.97,124
6237,Skim Milk,43,2.58,3.05,9.0,4.62,0.87,7.41,0.95,150
6238,Soy Milk,62,5.32,1.4,10.75,9.9,0.25,2.75,0.73,128
6239,Skim Milk,55,7.69,2.87,6.71,5.72,0.14,7.44,0.17,95
6240,Whole Milk,48,6.14,1.64,7.5,3.62,0.33,7.4,0.01,112
6241,Oat Milk,60,4.11,3.44,5.19,5.64,0.54,4.02,0.05,102
6242,Skim Milk,64,5.27,0.32,8.72,3.43,0.13,3.51,0.71,100
6243,Coconut Milk,61,1.48,1.53,8.98,5.9,0.52,5.54,0.65,144
6244,Whole Milk,40,4.46,1.09,2.01,1.34,0.74,6.46,0.45,112
6245,2% Milk,77,4.44,0.47,1.48,8.25,0.39,6.91,0.52,107
6246,Whole Milk,55,4.14,4.21,4.84,6.91,0.67,5.8,0.13,85
6247,Soy Milk,62,3.93,1.53,2.83,1.51,0.26,2.06,0.93,150
6248,Skim Milk,44,2.37,0.35,10.58,1.74,0.74,5.07,0.89,146
6249,2% Milk,63,0.85,0.43,6.3,7.22,0.84,6.8,0.84,128
6250,2% Milk,65,6.83,3.1,3.73,6.98,0.85,1.95,0.23,99
6251,2% Milk,44,0.57,4.32,4.64,8.38,0.52,2.36,0.45,126
6252,Skim Milk,50,1.12,3.28,10.04,1.21,0.88,4.83,0.25,137
6253,Skim Milk,77,7.5,4.87,2.32,9.82,0.11,3.34,0.01,81
6254,Skim Milk,56,2.98,4.16,1.02,7.97,0.87,3.99,0.66,124
6255,Whole Milk,71,2.07,2.23,10.17,5.67,0.78,1.07,0.83,115
6256,Cashew Milk,50,1.04,4.1,6.97,3.27,0.93,3.68,0.75,133
6257,Coconut Milk,55,4.93,2.05,1.87,9.51,0.98,3.21,0.49,148
6258,Whole Milk,65,5.2,4.87,9.5,7.75,0.13,2.43,0.95,142
6259,Oat Milk,65,2.39,4.28,11.08,2.34,0.24,2.85,0.56,124
6260,Almond Milk,57,3.68,2.1,8.2,2.75,0.83,5.93,0.55,103
6261,Oat Milk,51,7.38,4.55,1.52,3.68,0.14,4.55,0.02,108
6262,Almond Milk,74,3.36,2.09,9.48,0.65,0.02,2.33,0.18,129
6263,Soy Milk,80,1.08,1.96,4.81,3.8,0.92,3.79,0.34,109
6264,Coconut Milk,79,0.57,4.84,7.26,4.4,0.64,4.98,0.99,123
6265,Almond Milk,75,5.08,3.01,4.71,3.82,0.51,1.43,0.9,121
6266,Soy Milk,53,4.05,2.82,8.04,0.78,0.83,5.38,0.77,88
6267,Almond Milk,40,5.8,4.32,10.94,6.94,0.05,4.74,0.6,130
6268,Skim Milk,54,5.57,0.43,2.95,6.66,0.64,6.8,0.66,82
6269,Cashew Milk,42,3.87,3.64,9.21,1.99,0.67,3.64,0.61,88
6270,Cashew Milk,49,0.55,1.09,10.89,9.19,0.92,7.75,0.22,120
6271,Whole Milk,78,3.17,1.15,4.15,0.75,0.79,3.21,0.27,95
6272,2% Milk,70,1.61,3.37,8.18,9.88,0.39,7.92,0.88,126
6273,Almond Milk,54,2.61,0.84,6.71,2.42,0.94,4.02,0.01,144
6274,Oat Milk,78,7.96,0.17,5.18,4.24,0.5,6.19,0.99,87
6275,2% Milk,47,4.1,2.55,5.99,4.14,0.59,4.13,0.63,131
6276,Soy Milk,49,7.48,4.75,7.52,7.43,0.13,6.75,0.07,109
6277,Coconut Milk,60,7.15,1.21,10.73,5.41,0.12,5.08,0.5,100
6278,Oat Milk,71,3.28,2.15,6.04,0.93,0.63,6.91,0.47,131
6279,Cashew Milk,50,7.59,1.14,9.82,6.55,0.85,2.51,0.94,131
6280,Whole Milk,56,1.0,3.62,1.32,2.04,0.99,1.36,0.57,88
6281,Soy Milk,44,1.92,0.76,11.17,8.42,0.41,3.6,0.59,107
6282,Skim Milk,71,6.49,4.42,5.38,9.23,0.56,1.82,0.09,118
6283,Soy Milk,74,7.92,4.35,11.05,5.45,0.1,2.31,0.58,109
6284,Whole Milk,67,7.79,4.72,4.16,7.22,0.1,6.44,0.6,110
6285,Soy Milk,57,4.68,4.92,9.98,5.53,0.57,4.54,0.88,90
6286,Soy Milk,47,5.98,4.63,6.53,7.11,0.83,4.04,0.36,147
6287,Coconut Milk,64,2.8,3.53,3.39,2.14,0.81,6.03,0.43,98
6288,2% Milk,42,3.38,0.58,7.87,2.63,0.35,7.26,0.22,146
6289,Oat Milk,58,7.08,2.24,8.31,3.35,0.58,7.09,0.37,87
6290,Coconut Milk,41,5.91,4.56,1.45,3.7,0.74,7.52,0.37,131
6291,Almond Milk,67,3.49,2.09,2.28,9.18,0.74,1.72,0.34,150
6292,Coconut Milk,73,1.55,0.73,9.04,5.2,0.84,6.55,0.29,87
6293,Cashew Milk,75,5.74,3.68,10.19,8.65,0.24,7.31,0.64,146
6294,Whole Milk,80,2.99,3.95,10.89,8.32,0.5,5.43,0.36,94
6295,Cashew Milk,69,4.07,4.97,4.1,4.64,0.45,6.95,0.89,134
6296,Coconut Milk,73,7.75,2.85,11.87,4.47,0.15,1.56,0.78,136
6297,Oat Milk,78,3.51,0.36,10.19,2.98,0.8,5.22,0.52,96
6298,Coconut Milk,54,2.24,3.54,1.61,7.29,0.73,7.55,0.81,147
6299,Skim Milk,40,4.77,0.73,9.95,5.84,0.74,1.84,0.52,120
6300,Soy Milk,76,3.48,1.68,4.42,0.84,0.57,7.56,0.84,99
6301,2% Milk,56,1.77,2.64,8.97,2.33,0.15,6.75,0.13,111
6302,Soy Milk,45,7.05,2.77,1.1,5.14,0.9,5.18,0.32,93
6303,Oat Milk,49,6.29,2.91,10.88,1.24,0.18,5.31,0.39,142
6304,Soy Milk,58,4.38,4.04,4.08,5.17,0.45,5.37,0.96,138
6305,Soy Milk,44,4.93,2.94,4.79,3.83,0.76,3.68,0.39,100
6306,Oat Milk,62,7.34,3.26,5.22,5.53,0.19,5.92,0.26,126
6307,Whole Milk,53,6.68,1.17,1.41,8.88,0.96,4.23,0.1,88
6308,Whole Milk,44,3.92,4.22,7.91,2.82,0.78,4.32,0.04,101
6309,2% Milk,62,0.92,2.55,10.69,4.2,0.67,3.32,0.46,106
6310,Skim Milk,77,0.59,4.14,3.35,7.81,0.15,7.43,0.54,135
6311,Oat Milk,69,0.61,3.84,10.77,1.31,0.37,6.48,0.48,148
6312,Soy Milk,47,6.38,0.88,2.85,1.71,0.15,5.62,0.56,81
6313,2% Milk,76,7.97,3.15,9.39,3.29,0.4,4.63,0.13,148
6314,Almond Milk,55,4.67,2.42,7.97,4.75,0.22,3.06,0.05,107
6315,Whole Milk,41,4.9,0.67,5.73,8.97,0.83,1.31,0.46,106
6316,Almond Milk,45,1.57,1.54,6.05,8.36,0.31,5.42,0.67,145
6317,Whole Milk,41,1.14,4.65,2.77,6.71,0.59,6.54,0.3,113
6318,Whole Milk,43,3.02,1.14,6.39,0.9,0.22,7.69,0.96,124
6319,2% Milk,64,1.67,2.26,7.74,8.02,0.35,4.52,0.06,117
6320,Coconut Milk,67,3.52,1.42,9.24,1.88,0.31,4.94,0.61,138
6321,2% Milk,40,2.18,2.17,4.88,9.87,0.28,2.47,0.76,139
6322,Skim Milk,74,2.69,4.93,2.31,3.48,0.01,2.12,0.54,100
6323,Cashew Milk,65,2.5,1.62,6.37,6.88,0.71,3.96,0.96,97
6324,Soy Milk,73,6.2,1.64,10.97,9.57,0.13,5.47,0.69,108
6325,Soy Milk,65,5.97,3.03,1.17,7.87,0.96,7.27,0.51,150
6326,Skim Milk,54,3.23,3.03,10.75,7.66,0.34,3.74,0.06,144
6327,Coconut Milk,41,3.2,2.84,7.03,9.7,0.77,2.61,0.58,134
6328,Whole Milk,49,3.69,0.63,5.78,6.87,0.66,3.79,0.28,138
6329,Cashew Milk,80,4.5,1.39,12.0,1.42,0.21,6.47,0.3,105
6330,Whole Milk,57,5.59,4.24,9.34,4.63,0.59,3.64,0.18,131
6331,Oat Milk,48,1.89,3.15,7.0,1.35,0.34,2.62,0.42,91
6332,Whole Milk,80,1.52,2.52,6.77,5.5,0.56,1.92,0.04,134
6333,2% Milk,51,2.67,1.33,4.69,9.49,0.49,4.51,0.97,115
6334,Soy Milk,49,3.56,0.62,10.54,8.29,0.98,7.04,0.02,141
6335,Soy Milk,79,7.41,0.76,10.98,8.1,0.71,3.36,0.63,131
6336,2% Milk,46,4.06,0.26,10.09,9.9,0.13,6.73,0.25,128
6337,Almond Milk,63,2.32,1.68,1.81,1.63,0.61,2.24,0.18,106
6338,Whole Milk,48,3.46,2.27,11.89,6.7,0.6,5.77,0.65,122
6339,Almond Milk,52,7.94,1.86,4.81,6.87,0.81,6.66,0.52,107
6340,Cashew Milk,60,5.31,4.33,10.47,3.62,0.77,6.64,0.13,148
6341,Skim Milk,71,7.49,0.26,1.89,5.85,0.44,7.1,0.6,122
6342,Almond Milk,52,1.35,4.68,7.19,2.57,0.6,6.37,0.98,89
6343,Skim Milk,44,1.89,2.23,6.39,5.49,0.32,2.16,0.08,96
6344,Almond Milk,65,1.17,2.82,11.26,1.81,0.69,1.24,0.47,84
6345,Whole Milk,73,3.17,0.61,9.43,7.63,0.77,6.5,0.35,95
6346,Coconut Milk,50,0.84,1.64,1.59,8.72,0.8,4.83,0.93,135
6347,Whole Milk,65,2.4,0.97,6.18,1.84,0.97,2.66,0.96,140
6348,2% Milk,60,0.6,0.27,6.83,7.42,0.89,5.46,0.64,144
6349,Cashew Milk,80,7.47,1.69,8.63,6.28,0.56,1.08,0.27,81
6350,Coconut Milk,41,1.49,2.8,7.56,7.39,0.42,2.07,0.44,144
6351,Oat Milk,59,5.99,0.86,6.37,3.4,0.55,2.22,0.06,108
6352,2% Milk,71,7.19,3.52,5.72,5.64,0.64,2.12,0.7,114
6353,Whole Milk,72,5.96,0.76,1.62,7.57,0.7,2.85,0.84,126
6354,Oat Milk,74,1.04,3.39,1.88,9.8,0.39,6.77,0.87,82
6355,Skim Milk,76,5.02,0.2,10.82,5.16,0.13,2.94,0.62,129
6356,Oat Milk,72,7.48,3.26,6.52,9.22,0.91,6.6,0.27,91
6357,Oat Milk,65,4.45,0.54,10.07,7.47,0.26,3.37,0.63,125
6358,Soy Milk,49,4.86,4.85,3.22,3.8,0.04,1.42,0.61,123
6359,Whole Milk,49,7.05,0.44,8.04,7.54,0.71,2.31,0.39,110
6360,2% Milk,76,4.42,0.75,11.89,2.89,0.79,6.66,0.09,98
6361,Whole Milk,43,7.54,4.93,5.52,2.63,0.68,1.32,0.07,129
6362,Skim Milk,67,5.91,2.75,10.25,7.66,0.86,4.88,0.82,101
6363,2% Milk,62,1.36,0.64,2.08,9.51,0.68,1.52,0.64,129
6364,Oat Milk,58,6.54,3.49,8.05,5.43,0.7,1.62,0.71,140
6365,Whole Milk,43,5.21,2.3,8.6,2.49,0.14,2.99,1.0,108
6366,2% Milk,78,3.08,1.74,2.07,7.7,0.9,1.21,0.13,140
6367,Coconut Milk,65,4.19,4.98,8.16,2.66,0.72,7.7,0.25,114
6368,Soy Milk,63,5.87,1.92,6.08,7.89,0.36,1.7,0.39,80
6369,Oat Milk,45,4.59,4.0,5.47,9.39,0.1,7.62,0.09,118
6370,Whole Milk,47,4.67,2.29,4.06,4.67,0.16,3.29,0.75,114
6371,Skim Milk,57,3.17,1.8,4.23,2.41,0.12,2.99,0.25,80
6372,2% Milk,56,6.01,2.92,9.32,3.23,0.58,1.52,0.23,145
6373,2% Milk,44,3.09,1.33,5.82,2.82,0.08,6.07,0.54,139
6374,Soy Milk,73,5.01,1.27,3.42,2.89,0.96,4.75,0.47,80
6375,Coconut Milk,45,1.71,3.83,11.63,6.64,0.14,6.41,0.54,129
6376,Almond Milk,45,0.96,0.62,8.62,7.62,0.91,1.97,0.7,137
6377,Oat Milk,46,2.99,1.81,9.45,5.48,0.02,2.01,0.42,137
6378,Soy Milk,72,6.21,0.69,3.1,1.47,0.12,3.77,0.51,146
6379,Cashew Milk,66,4.09,2.51,3.04,6.0,0.73,4.07,0.32,141
6380,Almond Milk,45,1.83,0.18,4.0,8.97,0.57,5.08,0.99,138
6381,Cashew Milk,63,3.65,1.85,9.96,6.63,0.77,3.55,0.27,106
6382,Almond Milk,65,6.36,1.96,10.99,7.55,0.26,7.98,0.71,115
6383,Oat Milk,47,0.84,1.59,3.73,2.94,0.15,5.23,0.12,111
6384,Oat Milk,43,0.65,0.38,4.02,6.45,0.41,2.42,0.05,90
6385,Skim Milk,42,6.69,3.91,11.08,0.86,0.94,4.18,0.97,138
6386,Oat Milk,77,6.43,4.39,10.6,5.65,0.42,5.02,0.13,123
6387,Cashew Milk,53,2.53,4.8,1.84,6.08,0.5,1.86,0.13,114
6388,Whole Milk,47,4.07,4.19,6.84,6.68,0.07,2.54,0.79,100
6389,Cashew Milk,54,2.78,0.92,11.07,2.71,0.73,5.55,0.71,99
6390,Oat Milk,53,7.15,4.41,11.53,9.81,0.14,2.12,0.86,99
6391,Skim Milk,46,4.39,2.22,6.91,8.35,0.38,6.02,0.14,128
6392,Oat Milk,66,7.57,4.97,10.23,1.17,0.19,6.18,0.93,139
6393,Coconut Milk,52,4.58,0.96,6.17,4.1,0.55,2.63,0.18,100
6394,Oat Milk,61,6.12,1.36,4.91,8.63,0.56,2.8,0.38,84
6395,Almond Milk,45,1.14,0.27,4.86,7.73,0.11,2.26,0.27,102
6396,Soy Milk,62,5.38,4.05,4.9,5.41,0.18,4.34,0.97,104
6397,Oat Milk,61,7.05,1.82,4.19,5.44,0.34,6.94,0.78,136
6398,Oat Milk,45,7.2,3.21,11.52,9.86,0.8,2.95,1.0,112
6399,2% Milk,59,1.62,2.19,11.88,1.34,0.69,1.78,0.14,150
6400,Soy Milk,79,7.83,4.61,6.14,2.23,0.92,5.23,0.67,142
6401,Oat Milk,49,5.14,4.33,2.18,3.59,0.51,6.2,0.64,107
6402,2% Milk,73,3.82,0.2,7.39,7.8,0.12,3.92,0.93,119
6403,Coconut Milk,70,3.65,0.6,11.87,6.0,0.67,5.34,0.38,122
6404,Skim Milk,74,7.25,2.66,4.53,3.75,0.45,6.14,0.13,148
6405,Oat Milk,53,5.91,1.89,9.37,6.5,0.15,1.27,0.63,81
6406,2% Milk,65,1.82,3.45,4.32,2.03,0.46,6.0,0.73,136
6407,2% Milk,49,1.51,4.21,1.48,8.6,0.64,4.08,0.77,130
6408,Almond Milk,80,2.24,1.86,3.53,9.93,0.29,6.91,0.6,135
6409,Oat Milk,77,1.21,4.54,8.95,3.45,0.42,4.94,0.63,111
6410,Almond Milk,72,4.85,3.91,11.65,7.54,0.1,6.6,0.01,146
6411,2% Milk,78,7.82,2.02,8.42,6.16,0.15,5.38,0.1,89
6412,Cashew Milk,53,2.26,2.45,2.24,1.65,0.87,6.07,0.15,137
6413,Coconut Milk,78,4.44,3.98,6.62,0.57,0.69,3.19,0.74,126
6414,Whole Milk,77,5.07,2.08,4.35,5.88,0.36,7.64,0.28,111
6415,Soy Milk,58,3.78,4.12,1.12,6.42,0.03,3.04,0.95,120
6416,Cashew Milk,65,4.16,4.69,2.21,4.9,0.08,5.9,0.04,121
6417,Almond Milk,65,5.77,1.25,1.87,5.15,0.67,5.71,0.92,150
6418,Almond Milk,76,7.18,4.07,5.53,5.99,0.93,7.52,0.04,116
6419,Cashew Milk,58,1.77,1.81,6.9,5.93,0.72,2.96,0.66,80
6420,Soy Milk,76,3.51,0.92,6.69,8.87,0.83,1.65,0.67,99
6421,Soy Milk,66,1.37,2.47,9.04,5.21,0.97,6.54,0.65,85
6422,Almond Milk,41,1.42,1.16,4.48,7.64,0.04,4.79,0.02,137
6423,2% Milk,70,2.87,2.12,2.44,8.96,0.22,1.77,0.68,97
6424,Whole Milk,60,3.04,4.79,4.27,7.98,0.2,4.77,0.46,110
6425,Oat Milk,46,1.03,4.39,3.38,1.74,0.25,7.51,0.74,128
6426,2% Milk,46,0.57,2.64,10.46,3.74,0.55,7.29,0.36,95
6427,Skim Milk,41,2.13,0.63,8.45,0.75,0.05,3.17,0.92,128
6428,Almond Milk,59,6.68,3.57,5.51,7.31,0.6,2.12,0.95,114
6429,Almond Milk,60,1.03,0.79,9.5,7.2,0.48,6.63,0.81,101
6430,Whole Milk,70,3.45,0.2,1.33,1.54,0.85,6.38,0.65,130
6431,Skim Milk,53,1.99,1.44,7.65,3.19,0.56,4.65,0.87,103
6432,Almond Milk,45,2.23,3.12,11.08,9.44,0.87,2.3,0.38,142
6433,Whole Milk,47,0.64,1.59,6.93,7.97,0.72,4.2,0.69,80
6434,Soy Milk,52,3.85,2.93,9.04,4.31,0.83,5.31,0.2,94
6435,Whole Milk,68,1.47,3.98,10.46,4.3,0.78,6.37,0.59,106
6436,2% Milk,42,2.47,3.08,5.08,4.89,0.93,1.51,0.13,99
6437,Whole Milk,60,2.05,4.24,9.56,4.93,0.39,1.67,0.33,145
6438,Skim Milk,78,5.03,0.29,5.38,9.05,0.34,5.45,0.97,147
6439,Soy Milk,79,0.55,1.52,1.07,5.89,0.8,1.54,0.7,112
6440,Skim Milk,52,2.11,0.51,6.98,5.96,0.64,1.81,0.81,116
6441,Soy Milk,69,7.54,2.68,6.44,1.17,0.69,3.12,0.36,100
6442,Oat Milk,70,6.1,3.71,2.91,0.87,0.54,6.13,0.63,135
6443,Coconut Milk,54,7.21,4.08,6.59,2.94,0.72,2.21,0.01,139
6444,Almond Milk,69,0.76,0.68,11.2,8.31,0.48,4.35,0.57,117
6445,Coconut Milk,53,0.72,3.7,11.51,9.08,0.92,7.67,0.73,94
6446,Almond Milk,44,3.69,4.76,3.21,2.13,0.59,6.49,0.72,89
6447,Cashew Milk,80,4.4,2.19,7.13,4.06,0.34,5.19,0.98,143
6448,Soy Milk,46,3.81,3.38,3.25,4.46,0.51,2.38,0.91,87
6449,Skim Milk,77,8.0,3.6,7.66,5.83,0.78,1.56,0.4,84
6450,Skim Milk,66,5.0,3.27,2.29,5.46,0.01,1.97,0.39,138
6451,Whole Milk,50,6.46,1.95,10.24,6.85,0.59,2.31,0.13,137
6452,Oat Milk,54,6.3,4.55,10.2,8.41,0.68,3.6,0.97,108
6453,Soy Milk,78,2.84,0.27,3.19,7.1,0.56,3.29,0.45,125
6454,Almond Milk,71,7.32,0.48,11.14,4.5,0.5,3.15,0.93,87
6455,Oat Milk,42,5.87,2.35,3.32,9.66,0.04,4.79,0.62,112
6456,2% Milk,55,4.53,4.48,3.04,7.55,0.35,6.94,0.29,119
6457,Whole Milk,77,1.82,4.55,9.78,4.04,0.69,4.73,0.33,111
6458,Almond Milk,54,7.36,0.73,6.55,3.68,0.95,5.37,0.86,113
6459,Coconut Milk,49,4.88,3.1,11.54,8.95,0.07,1.76,0.6,150
6460,Whole Milk,76,6.53,3.55,3.74,9.19,0.13,7.42,0.12,110
6461,Whole Milk,66,5.45,1.65,1.98,5.38,0.92,3.07,0.27,98
6462,Oat Milk,51,3.81,0.88,2.27,5.02,0.67,3.09,0.38,120
6463,Oat Milk,72,1.0,3.67,5.95,5.51,0.92,5.52,0.28,116
6464,Cashew Milk,61,7.95,1.11,8.33,8.86,0.63,3.68,0.26,130
6465,Oat Milk,61,6.97,4.78,9.05,5.77,0.57,4.28,0.87,108
6466,Whole Milk,56,3.86,4.37,8.79,3.09,0.87,2.4,0.64,87
6467,Almond Milk,47,1.96,0.19,2.15,9.63,0.91,5.88,0.24,86
6468,2% Milk,63,5.88,3.34,4.06,9.54,0.32,6.05,0.04,121
6469,Cashew Milk,40,1.12,4.34,5.24,8.53,0.36,2.3,0.41,82
6470,Coconut Milk,55,4.08,1.34,10.31,1.21,0.5,7.24,0.55,86
6471,Cashew Milk,46,5.6,0.23,6.81,3.08,0.31,2.08,0.39,101
6472,Almond Milk,62,1.51,3.24,8.64,0.96,0.55,3.72,0.84,92
6473,Cashew Milk,65,5.79,4.16,2.44,4.32,0.54,1.1,0.41,120
