Id,Product Name,Energy (kcal),Fat Level (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
4435,Oat Milk,76,3.7,4.05,8.08,5.11,0.86,2.9,0.59,105
4436,Almond Milk,54,7.88,2.39,4.54,3.34,0.48,1.86,0.48,91
4437,Coconut Milk,44,2.0,3.76,2.39,9.06,0.82,7.32,0.37,113
4438,Cashew Milk,79,7.92,0.72,5.4,5.88,0.49,3.6,0.3,128
4439,Skim Milk,45,7.39,4.52,6.66,1.31,0.29,2.65,0.3,100
4440,2% Milk,61,7.94,1.64,7.92,1.0,0.81,4.47,0.15,109
4441,Soy Milk,53,7.75,0.98,8.43,4.62,0.65,7.84,0.4,139
4442,Soy Milk,73,2.3,0.78,11.65,7.95,0.66,4.83,0.1,81
4443,Cashew Milk,65,2.01,2.21,6.84,6.48,0.99,2.12,0.12,131
4444,2% Milk,58,5.1,1.5,11.81,6.76,0.03,3.11,0.68,96
4445,Cashew Milk,52,4.57,1.88,6.32,6.29,0.71,2.35,0.54,135
4446,Whole Milk,76,1.91,1.24,7.16,6.11,0.19,5.47,0.14,148
4447,Coconut Milk,66,3.17,4.41,8.95,7.3,0.92,3.17,0.97,143
4448,Whole Milk,57,1.49,4.49,3.63,5.16,0.18,7.12,0.17,109
4449,Almond Milk,63,5.6,1.31,3.24,4.25,0.93,1.8,0.3,136
4450,Soy Milk,45,4.58,1.71,2.27,3.74,0.19,1.86,0.77,131
4451,Whole Milk,69,5.65,2.9,1.91,2.1,0.44,1.68,0.34,140
4452,2% Milk,72,1.07,3.0,10.02,9.71,0.33,7.22,0.13,124
4453,Almond Milk,45,0.51,2.37,4.44,8.07,0.24,4.4,0.58,93
4454,Cashew Milk,63,3.77,0.17,2.28,6.72,0.06,6.89,0.44,82
4455,Whole Milk,55,7.65,0.98,11.08,6.6,0.63,6.48,0.0,106
4456,Coconut Milk,52,2.02,2.52,2.71,7.54,0.0,6.62,0.04,148
4457,Whole Milk,59,1.98,0.19,9.41,7.44,0.34,7.52,0.72,132
4458,2% Milk,49,1.46,2.96,6.71,8.74,0.52,2.45,0.21,145
4459,Almond Milk,68,1.79,3.53,5.44,1.85,0.19,2.53,0.35,114
4460,Whole Milk,66,4.81,4.76,7.81,7.68,0.49,3.98,0.64,133
4461,Coconut Milk,75,5.08,3.35,1.4,2.02,0.02,3.11,0.08,87
4462,Cashew Milk,69,4.21,1.06,9.65,8.63,0.38,7.52,0.24,112
4463,2% Milk,62,7.63,1.94,2.69,4.09,0.69,6.35,0.64,87
4464,Soy Milk,47,7.73,4.58,10.42,6.7,0.71,2.15,0.34,105
4465,Whole Milk,79,2.1,1.71,6.43,4.54,0.97,6.51,0.5,128
4466,Cashew Milk,70,6.75,2.62,10.61,9.45,0.04,3.28,0.87,112
4467,Soy Milk,64,4.57,2.01,10.97,7.13,0.03,1.39,0.86,126
4468,Whole Milk,64,4.9,3.94,8.25,6.51,0.36,7.18,0.41,98
4469,Soy Milk,41,2.69,1.5,6.59,4.11,0.55,1.05,0.52,145
4470,2% Milk,53,5.21,3.91,6.76,1.5,0.65,4.34,0.23,86
4471,Cashew Milk,51,6.71,0.89,5.84,3.93,0.04,1.04,0.98,88
4472,Soy Milk,64,2.0,4.53,11.62,7.5,0.97,4.5,0.22,130
4473,Whole Milk,68,1.31,3.15,6.42,5.55,0.99,3.47,0.71,129
4474,Skim Milk,43,6.78,4.97,6.05,3.51,0.24,7.17,0.85,86
4475,2% Milk,50,5.62,4.27,6.86,4.32,0.0,5.68,0.18,93
4476,Coconut Milk,60,1.23,4.47,1.25,5.76,0.66,2.88,0.41,100
4477,Oat Milk,60,1.26,2.19,8.06,4.64,0.7,3.03,0.45,144
4478,Soy Milk,55,1.89,3.5,4.48,2.54,0.88,7.33,0.67,92
4479,Coconut Milk,72,4.27,1.05,4.57,8.15,0.5,6.22,0.09,82
4480,Oat Milk,79,5.24,0.13,3.83,5.14,0.72,1.5,0.49,109
4481,Whole Milk,57,7.41,2.79,10.27,5.77,0.67,3.13,0.25,118
4482,2% Milk,63,2.5,0.42,3.95,3.89,0.99,4.75,0.44,93
4483,Cashew Milk,64,0.66,3.64,4.91,1.51,0.34,5.84,0.84,85
4484,Oat Milk,57,6.21,0.95,4.68,9.14,0.22,7.86,0.88,82
4485,Cashew Milk,72,2.73,1.85,3.92,5.46,0.6,4.0,0.94,80
4486,Skim Milk,41,5.51,1.24,7.19,6.02,0.27,5.42,0.88,105
4487,Soy Milk,53,3.09,2.88,10.04,1.96,0.92,5.82,0.89,147
4488,Almond Milk,59,4.62,2.73,2.17,7.68,0.61,4.41,0.77,130
4489,Almond Milk,48,2.84,4.52,2.69,7.58,0.61,3.98,0.22,118
4490,Oat Milk,74,7.17,2.96,5.19,6.9,0.77,2.39,0.92,147
4491,Almond Milk,73,5.45,2.98,10.21,1.44,0.37,1.73,0.69,150
4492,Whole Milk,49,5.14,2.38,10.32,5.64,0.67,7.89,0.66,102
4493,Coconut Milk,66,5.06,4.55,10.98,7.27,0.36,3.3,0.3,107
4494,Cashew Milk,67,3.08,1.22,3.97,8.58,0.34,7.01,0.19,85
4495,Skim Milk,55,2.72,3.12,5.3,8.45,0.56,2.74,0.6,81
4496,Whole Milk,65,6.97,3.34,11.41,9.58,0.02,3.94,0.94,132
4497,Whole Milk,55,1.21,4.86,10.35,6.75,0.43,4.61,0.35,128
4498,Almond Milk,54,1.99,2.42,4.45,7.27,0.93,3.12,0.76,84
4499,Almond Milk,79,5.56,3.03,5.63,4.32,0.0,4.51,0.57,137
4500,Skim Milk,74,5.78,0.14,6.17,8.44,0.07,1.67,0.14,129
4501,Cashew Milk,45,5.11,2.68,7.61,6.1,0.88,5.73,0.48,145
4502,Skim Milk,79,0.93,0.3,3.64,1.36,0.36,2.53,0.88,92
4503,2% Milk,40,7.37,4.53,8.85,9.87,0.23,6.15,0.04,105
4504,Whole Milk,63,7.36,1.51,2.31,1.06,0.72,2.93,0.18,87
4505,Oat Milk,56,2.92,2.8,4.92,5.74,0.51,3.57,0.83,106
4506,Cashew Milk,80,1.85,1.06,9.73,5.6,0.26,5.73,0.72,124
4507,Oat Milk,67,1.05,2.49,11.96,2.44,0.1,2.64,0.12,106
4508,Almond Milk,67,5.12,0.81,5.33,5.78,0.0,1.34,0.67,127
4509,Cashew Milk,54,7.22,1.81,3.29,0.91,0.73,6.95,0.05,109
4510,2% Milk,64,2.55,0.52,4.86,2.91,0.65,1.99,0.01,123
4511,Whole Milk,71,7.53,0.87,5.47,3.55,0.46,4.17,0.92,129
4512,Oat Milk,76,1.25,3.3,8.03,3.71,0.67,2.13,0.2,112
4513,2% Milk,69,6.63,3.12,8.22,4.39,0.5,5.3,0.34,97
4514,Soy Milk,64,1.94,3.85,4.55,5.06,0.6,3.65,0.56,145
4515,Skim Milk,45,6.55,1.94,9.33,8.91,0.08,6.21,0.04,117
4516,Soy Milk,71,3.2,0.34,6.05,7.59,0.75,2.93,0.26,122
4517,Cashew Milk,64,1.79,3.39,7.74,3.37,0.79,6.51,0.73,91
4518,Coconut Milk,42,5.92,4.67,8.8,8.39,0.07,2.38,0.31,115
4519,Cashew Milk,46,1.84,3.43,3.15,4.44,0.25,2.81,0.39,101
4520,2% Milk,77,3.4,3.86,4.36,4.84,0.34,2.91,0.42,97
4521,2% Milk,41,4.11,4.25,9.78,3.21,0.96,7.33,0.18,123
4522,Oat Milk,43,3.06,0.45,4.59,7.88,0.41,7.77,0.63,83
4523,Cashew Milk,66,5.91,4.52,7.27,9.33,0.57,7.37,0.26,150
4524,2% Milk,47,6.13,0.4,8.34,0.84,0.53,1.37,0.05,117
4525,Oat Milk,48,7.34,3.67,3.38,4.42,0.37,5.87,0.11,133
4526,Cashew Milk,54,7.58,0.65,7.05,8.64,0.07,1.05,0.52,90
4527,Coconut Milk,73,7.06,0.62,8.46,1.25,0.92,5.41,0.58,95
4528,Coconut Milk,76,2.02,3.64,4.58,7.01,0.93,2.81,0.73,107
4529,Almond Milk,51,5.97,2.86,2.34,5.96,0.18,5.59,0.19,118
4530,Cashew Milk,63,3.65,1.21,5.4,6.68,0.29,4.11,0.78,118
4531,Coconut Milk,58,5.51,4.33,6.23,3.31,0.39,3.43,0.25,106
4532,Whole Milk,75,1.09,3.6,2.87,7.46,0.95,4.48,0.15,114
4533,Cashew Milk,49,7.37,1.39,1.21,2.96,0.24,3.15,0.77,146
4534,Soy Milk,76,7.13,2.41,2.65,6.89,0.92,2.43,0.99,102
4535,Almond Milk,66,6.18,2.52,6.56,4.93,0.29,3.71,0.48,147
4536,Cashew Milk,69,5.12,3.34,5.35,8.82,0.47,2.75,0.01,98
4537,Soy Milk,77,0.7,4.0,10.96,9.83,0.15,4.23,0.99,144
4538,Skim Milk,76,0.77,4.58,2.3,2.29,0.98,7.05,0.59,123
4539,Skim Milk,62,5.52,3.09,2.52,4.15,0.29,5.26,0.13,145
4540,2% Milk,78,6.97,4.09,7.95,5.1,0.59,7.9,0.12,144
4541,Skim Milk,56,1.03,2.55,6.16,9.97,0.55,1.98,0.63,80
4542,Coconut Milk,46,5.6,2.33,1.75,6.43,0.9,5.37,0.9,94
4543,Skim Milk,48,5.62,1.13,2.35,5.0,0.96,1.27,0.9,83
4544,Almond Milk,43,2.32,1.16,10.59,7.13,0.82,6.82,0.13,142
4545,Oat Milk,79,6.44,4.2,3.46,0.98,0.82,5.39,0.19,102
4546,Cashew Milk,44,5.47,3.28,7.25,9.97,0.8,2.06,0.18,139
4547,Oat Milk,56,7.74,4.26,5.66,3.19,0.26,4.26,0.81,111
4548,Coconut Milk,45,1.49,2.0,9.28,8.46,0.1,3.1,0.28,126
4549,Skim Milk,43,3.79,2.12,2.05,1.76,0.9,6.48,0.35,120
4550,2% Milk,40,2.95,3.79,11.85,5.09,0.52,1.52,0.22,91
4551,Oat Milk,41,4.9,0.57,11.48,1.02,0.36,1.34,0.37,129
4552,Almond Milk,52,7.35,0.11,6.77,6.99,0.19,7.76,0.02,137
4553,Coconut Milk,77,5.09,2.01,1.53,2.81,0.61,7.23,0.43,103
4554,Almond Milk,58,0.75,4.7,3.36,7.6,0.97,4.41,0.63,88
4555,Coconut Milk,62,0.95,3.76,10.02,1.68,0.85,3.12,0.85,95
4556,Cashew Milk,67,2.45,1.19,8.38,6.75,0.27,4.0,0.5,131
4557,Almond Milk,77,2.52,2.26,4.86,8.92,0.83,7.72,0.89,129
4558,Oat Milk,79,2.92,1.09,8.73,5.52,0.24,4.96,0.69,81
4559,Soy Milk,58,0.99,3.49,7.69,8.06,0.76,6.5,0.99,94
4560,Soy Milk,78,3.59,1.66,4.87,5.86,0.22,4.1,0.81,139
4561,Oat Milk,63,4.76,1.19,4.93,4.82,0.16,7.14,0.69,123
4562,Whole Milk,48,7.49,0.37,7.68,6.69,0.05,4.53,0.55,105
4563,Cashew Milk,77,7.32,1.98,10.38,4.23,0.47,1.56,0.96,106
4564,Oat Milk,54,3.49,4.22,1.25,9.54,0.97,4.21,0.97,94
4565,Soy Milk,71,2.91,1.52,9.99,7.42,1.0,7.16,0.84,113
4566,Skim Milk,74,4.02,1.27,4.25,6.33,0.66,6.5,0.38,85
4567,2% Milk,59,6.51,4.05,2.22,4.21,0.6,5.0,0.32,117
4568,Soy Milk,68,3.25,4.3,8.67,5.49,0.96,4.67,0.35,105
4569,Coconut Milk,79,3.63,2.56,8.67,8.01,0.38,1.75,0.08,103
4570,Skim Milk,66,5.13,2.56,4.72,8.77,0.04,7.85,0.73,102
4571,Whole Milk,42,6.53,4.23,9.68,5.92,0.79,6.22,0.04,103
4572,Skim Milk,50,4.45,4.86,4.85,2.88,0.25,6.09,0.65,124
4573,Oat Milk,47,3.58,1.73,5.33,0.97,0.87,6.77,0.18,149
4574,Coconut Milk,50,1.73,0.57,6.85,8.74,0.93,5.17,0.2,94
4575,Cashew Milk,41,6.42,4.38,1.12,8.07,0.8,4.12,0.81,87
4576,2% Milk,62,2.99,0.22,6.64,9.51,0.96,1.36,0.29,133
4577,Cashew Milk,72,2.08,4.07,4.52,2.18,0.68,6.93,0.04,89
4578,Almond Milk,60,6.24,2.78,4.33,3.64,0.58,4.82,0.68,127
4579,Oat Milk,44,2.9,0.76,11.13,9.19,0.23,5.25,0.3,114
4580,Cashew Milk,76,4.14,0.4,5.19,4.27,0.24,7.25,0.86,126
4581,Skim Milk,41,2.29,4.76,2.27,7.57,0.8,6.42,0.99,143
4582,Cashew Milk,63,6.41,3.12,5.25,1.05,0.55,5.07,0.78,91
4583,Whole Milk,80,7.73,2.92,8.78,7.11,0.23,1.0,0.78,137
4584,Skim Milk,66,3.94,0.63,5.56,4.6,0.96,2.31,0.7,104
4585,Coconut Milk,67,5.02,4.1,3.81,0.96,0.06,3.15,0.82,86
4586,Almond Milk,67,2.01,2.07,5.77,7.46,0.74,1.87,0.04,88
4587,Whole Milk,63,1.02,4.93,2.92,6.94,0.77,5.16,0.28,111
4588,Whole Milk,78,4.1,1.38,2.69,5.4,0.98,3.67,0.99,109
4589,2% Milk,75,1.85,2.97,5.88,8.62,0.91,3.31,0.33,124
4590,Coconut Milk,66,3.05,0.95,11.38,7.71,0.96,2.87,0.52,127
4591,Oat Milk,61,7.1,2.76,7.12,5.62,0.26,3.48,0.06,112
4592,Coconut Milk,68,7.3,3.25,3.48,1.51,0.82,1.98,0.87,108
4593,Almond Milk,44,4.8,1.54,11.62,4.42,0.43,3.99,0.43,92
4594,Coconut Milk,61,5.67,2.98,10.77,1.95,0.86,5.3,0.8,141
4595,Soy Milk,46,5.08,1.55,7.95,2.19,0.14,3.23,0.1,121
4596,2% Milk,63,2.64,1.72,2.93,0.74,0.25,5.8,0.01,111
4597,Cashew Milk,57,4.54,1.95,8.86,5.0,0.61,4.27,0.39,149
4598,2% Milk,63,3.53,3.25,6.26,6.8,0.51,4.64,0.25,122
4599,2% Milk,77,5.45,3.28,6.96,5.13,0.29,5.94,0.45,81
4600,Oat Milk,75,5.51,1.65,1.42,2.09,0.59,2.93,0.12,88
4601,Almond Milk,52,4.42,4.88,8.79,4.79,0.41,2.66,0.85,129
4602,Coconut Milk,76,5.36,0.67,4.11,9.27,0.69,3.23,0.54,84
4603,Skim Milk,69,1.8,1.23,11.5,8.06,0.88,4.32,0.05,111
4604,Soy Milk,49,1.11,3.49,5.53,2.21,0.98,1.63,0.91,112
4605,Skim Milk,61,5.58,1.1,9.75,2.4,0.41,1.31,0.19,147
4606,Coconut Milk,55,6.79,1.16,11.67,3.37,0.77,2.35,0.88,146
4607,Almond Milk,74,6.83,0.86,7.43,9.85,0.86,5.84,0.05,97
4608,Cashew Milk,50,2.32,3.32,6.01,6.18,0.63,1.2,0.3,97
4609,Skim Milk,74,6.84,0.86,7.63,3.45,0.14,3.37,0.41,89
4610,Whole Milk,59,7.54,1.91,2.55,2.37,0.18,2.02,0.89,87
4611,Almond Milk,42,5.82,0.76,9.8,3.36,0.91,6.74,0.31,84
4612,Coconut Milk,45,3.73,4.35,1.62,4.41,0.21,4.01,0.23,98
4613,Soy Milk,67,5.73,2.32,3.81,1.41,0.73,3.88,0.39,110
4614,Coconut Milk,51,3.69,3.54,9.57,6.23,0.33,4.52,0.25,121
4615,Skim Milk,56,4.89,0.97,8.31,1.51,0.19,2.26,0.5,127
4616,Skim Milk,51,6.26,1.87,11.3,9.87,0.27,2.58,0.54,111
4617,Oat Milk,66,4.26,3.53,4.0,2.15,0.47,7.95,0.57,114
4618,Oat Milk,62,3.55,4.54,7.5,5.0,0.93,4.43,0.43,96
4619,Whole Milk,69,7.49,4.36,9.4,9.74,0.08,2.03,0.07,105
4620,Cashew Milk,80,1.42,1.66,2.45,9.02,0.67,5.13,0.08,121
4621,Almond Milk,60,1.23,4.61,8.47,1.88,0.94,5.37,0.26,113
4622,2% Milk,52,6.81,2.45,1.61,5.65,0.38,4.58,0.93,132
4623,Oat Milk,52,2.35,1.75,11.59,8.59,0.32,6.64,0.83,96
4624,Almond Milk,53,0.89,1.12,5.73,4.87,0.67,5.94,0.73,135
4625,Coconut Milk,78,2.97,0.36,2.19,1.19,0.1,6.88,0.88,145
4626,2% Milk,61,2.85,2.31,4.39,6.28,0.78,7.66,0.77,97
4627,Coconut Milk,54,2.35,3.99,8.42,7.92,0.06,6.25,0.45,96
4628,Soy Milk,46,3.05,1.9,2.62,1.75,0.18,1.61,0.72,130
4629,Soy Milk,60,3.9,3.14,1.36,0.98,0.41,2.1,0.96,119
4630,Oat Milk,60,1.42,4.15,7.44,3.45,0.54,7.96,0.63,131
4631,Whole Milk,67,7.5,4.62,11.14,4.26,0.38,3.61,0.12,106
4632,Skim Milk,59,1.63,4.32,5.74,3.4,0.37,7.29,0.42,141
4633,Almond Milk,65,6.48,2.09,2.19,7.16,0.26,4.23,0.88,112
4634,Soy Milk,46,6.44,1.1,7.03,1.74,0.95,5.6,0.24,111
4635,Almond Milk,66,5.19,1.91,8.58,6.81,0.03,3.45,0.49,114
4636,Soy Milk,51,0.55,1.38,4.84,0.68,0.0,7.27,0.39,110
4637,Oat Milk,58,3.96,3.35,8.61,7.81,0.99,4.3,0.98,96
4638,Oat Milk,54,5.38,2.52,1.32,7.49,0.68,6.31,0.93,138
4639,Oat Milk,44,5.29,0.94,5.86,0.7,0.04,6.79,0.17,140
4640,Almond Milk,53,6.75,4.51,2.21,3.12,0.97,3.25,0.76,120
4641,Whole Milk,45,5.41,1.09,10.06,4.95,0.71,7.55,0.46,142
4642,2% Milk,59,6.71,4.59,10.49,4.33,0.07,2.81,0.96,82
4643,Whole Milk,60,7.12,2.51,8.47,9.44,0.64,1.74,0.62,80
4644,Skim Milk,69,1.05,0.55,10.52,8.79,0.92,5.53,0.77,105
4645,2% Milk,59,3.49,4.45,2.85,5.74,0.26,1.65,0.9,125
4646,Almond Milk,48,6.48,4.9,3.66,4.67,0.09,1.05,0.88,148
4647,Oat Milk,79,3.07,1.25,7.46,1.0,0.64,2.69,0.73,93
4648,Oat Milk,40,6.02,1.13,7.21,7.43,0.09,4.27,0.95,108
4649,Almond Milk,70,6.17,2.67,6.75,7.7,0.47,3.96,0.4,149
4650,2% Milk,67,1.48,2.45,9.23,8.34,0.18,1.43,0.78,86
4651,Cashew Milk,64,5.78,4.87,1.81,5.73,0.5,5.27,0.7,108
4652,Coconut Milk,41,7.77,1.15,2.94,8.03,0.69,2.55,0.77,113
4653,Oat Milk,53,6.6,1.1,11.64,5.32,0.51,4.19,0.87,90
4654,Almond Milk,62,3.0,0.52,3.3,1.08,0.5,1.69,0.88,104
4655,Soy Milk,66,4.92,0.31,6.12,1.61,0.1,3.15,0.47,90
4656,Soy Milk,43,2.01,3.81,1.14,6.09,0.94,6.51,0.61,88
4657,2% Milk,66,7.74,0.55,6.97,5.0,0.15,4.47,0.25,83
4658,2% Milk,48,4.49,2.14,4.74,7.64,0.95,4.56,0.09,130
4659,Soy Milk,68,4.72,3.94,7.66,5.34,0.55,4.82,0.64,106
4660,Soy Milk,77,6.55,4.2,9.1,1.55,0.38,4.95,0.92,130
4661,Skim Milk,75,1.87,4.4,6.59,8.15,0.04,7.64,0.26,106
4662,Cashew Milk,61,6.83,0.74,9.4,1.39,0.03,7.71,0.6,89
4663,Almond Milk,49,4.46,4.89,8.49,1.33,0.27,3.53,0.96,103
4664,Coconut Milk,61,0.72,1.04,4.03,4.67,0.73,1.49,0.57,137
4665,Almond Milk,60,7.28,2.75,9.56,1.35,0.9,7.4,0.22,106
4666,Almond Milk,74,6.37,2.88,2.77,1.31,0.07,2.16,0.99,89
4667,Almond Milk,49,3.03,3.46,2.53,2.21,0.71,5.8,0.03,85
4668,Soy Milk,58,7.97,1.02,11.75,4.08,0.03,6.09,0.26,104
4669,Almond Milk,80,6.79,0.71,4.37,6.16,0.52,3.37,0.63,101
4670,Coconut Milk,41,3.46,2.35,2.52,6.42,0.65,5.87,0.55,99
4671,Cashew Milk,59,5.56,2.08,8.15,2.07,0.55,4.98,0.91,121
4672,Whole Milk,40,5.41,0.84,10.54,7.71,0.38,6.24,0.87,83
4673,Skim Milk,63,4.7,2.38,5.19,7.8,0.76,7.46,0.52,107
4674,Cashew Milk,75,2.3,3.98,9.18,4.36,0.33,2.25,0.86,112
4675,Soy Milk,41,2.07,2.5,11.29,4.27,0.45,6.62,0.36,147
4676,Coconut Milk,50,3.39,2.68,6.8,2.31,0.85,4.66,0.91,86
4677,Soy Milk,41,0.86,3.23,2.58,3.3,0.39,4.05,0.68,101
4678,Cashew Milk,69,4.5,4.55,7.57,8.37,0.88,7.1,0.96,124
4679,Skim Milk,42,7.44,0.67,5.95,5.69,0.18,7.33,0.32,85
4680,Coconut Milk,49,2.42,3.56,3.81,5.64,0.32,5.37,0.41,124
4681,Almond Milk,57,1.39,0.2,9.16,7.64,0.6,1.06,0.82,105
4682,Coconut Milk,47,0.5,0.54,3.95,3.69,0.18,4.73,0.29,87
4683,Oat Milk,52,6.1,4.16,7.51,4.81,0.71,5.92,0.61,84
4684,Soy Milk,41,5.21,2.52,5.57,6.54,0.65,1.96,0.15,132
4685,2% Milk,53,3.26,3.34,3.09,0.51,0.93,4.47,0.38,106
4686,Cashew Milk,53,3.01,2.68,2.45,1.89,0.62,7.65,0.09,150
4687,Almond Milk,73,3.91,4.18,3.3,8.7,0.01,4.15,0.22,129
4688,Oat Milk,51,4.42,3.43,3.0,8.56,0.54,7.11,0.17,95
4689,Soy Milk,59,2.15,4.76,7.15,5.48,0.56,3.24,0.5,81
4690,Whole Milk,41,3.33,0.15,5.59,4.71,0.77,6.55,0.98,130
4691,Whole Milk,52,6.36,2.48,6.48,6.01,0.87,1.92,0.53,91
4692,Whole Milk,54,5.33,1.68,9.47,6.81,0.49,2.81,0.59,134
4693,Oat Milk,71,1.97,4.84,10.19,1.76,0.3,1.62,0.56,133
4694,Whole Milk,54,3.1,0.15,5.47,9.81,0.86,4.95,0.68,97
4695,Cashew Milk,76,2.7,1.54,5.51,1.99,0.94,6.86,0.37,96
4696,Whole Milk,40,3.17,0.69,4.57,0.68,0.73,6.57,0.44,139
4697,Coconut Milk,47,7.93,1.84,10.52,6.77,0.08,7.85,0.91,113
4698,Almond Milk,42,5.65,3.8,1.67,0.96,0.6,7.3,0.44,142
4699,Almond Milk,40,5.46,1.1,4.41,8.97,0.41,2.17,0.62,122
4700,Oat Milk,69,1.62,0.77,2.06,8.62,0.62,7.88,0.59,99
4701,Soy Milk,52,0.92,0.53,8.4,3.39,0.49,7.05,0.08,82
4702,Soy Milk,59,1.13,4.87,8.41,4.64,0.44,7.64,0.33,129
4703,Coconut Milk,40,2.08,2.51,5.63,3.69,0.03,5.3,0.01,103
4704,Oat Milk,43,7.03,1.0,10.03,8.4,0.76,4.93,0.43,97
4705,Soy Milk,75,1.93,3.51,5.24,6.02,0.76,6.86,0.95,138
4706,Cashew Milk,60,5.66,1.51,3.21,3.89,0.5,3.31,0.51,80
4707,Cashew Milk,73,1.27,2.09,8.8,9.56,0.48,7.17,0.63,95
4708,Skim Milk,76,0.61,2.06,5.83,9.37,0.88,7.34,0.67,110
4709,Soy Milk,65,2.97,4.5,6.53,9.92,0.73,1.29,0.69,107
4710,Coconut Milk,79,4.17,1.69,7.4,0.85,0.91,4.11,0.79,138
4711,Almond Milk,54,2.37,3.73,6.32,1.61,0.62,5.38,0.87,118
4712,Almond Milk,76,1.13,0.72,2.37,7.09,0.25,5.03,0.67,138
4713,Cashew Milk,77,5.58,2.78,3.63,5.27,0.76,1.45,0.25,142
4714,Whole Milk,55,7.97,1.01,5.3,1.17,0.78,5.01,0.65,126
4715,Coconut Milk,60,5.73,4.68,4.77,4.66,0.31,5.83,0.97,133
4716,Soy Milk,47,4.1,1.01,5.71,0.81,0.27,1.01,0.55,92
4717,Cashew Milk,51,3.17,3.96,6.73,4.57,0.54,2.7,0.29,88
4718,Coconut Milk,53,2.42,1.1,2.39,6.18,0.8,4.23,0.17,116
4719,Almond Milk,54,2.76,3.04,9.66,2.73,0.06,4.29,0.85,86
4720,Soy Milk,43,1.02,3.04,8.62,1.77,0.46,6.37,0.94,85
4721,Almond Milk,76,1.52,3.77,7.43,5.33,0.7,2.6,0.25,133
4722,Whole Milk,73,5.55,0.22,10.2,7.64,0.65,1.42,0.41,90
4723,Soy Milk,48,4.46,2.89,3.02,2.35,0.21,7.07,0.36,114
4724,Soy Milk,57,6.08,2.0,11.04,4.1,0.81,3.34,0.87,123
4725,2% Milk,45,3.16,0.3,8.37,3.09,0.77,5.81,0.33,147
4726,Whole Milk,42,0.66,1.66,5.13,0.54,0.8,1.37,0.38,135
4727,Almond Milk,46,5.26,3.26,2.79,2.3,0.54,2.74,0.57,94
4728,2% Milk,58,5.83,3.37,10.87,1.92,0.97,7.48,0.8,115
4729,Soy Milk,45,4.97,4.86,8.75,6.06,0.75,4.55,0.73,130
4730,Oat Milk,53,5.12,4.4,3.93,4.0,0.43,2.79,0.91,139
4731,Almond Milk,69,7.58,1.43,4.78,1.99,0.98,7.37,0.69,141
4732,Cashew Milk,71,4.33,0.92,10.45,4.66,0.0,3.81,0.3,140
4733,Whole Milk,50,6.47,3.64,4.4,5.84,0.6,5.04,0.55,131
4734,Oat Milk,49,7.71,4.55,11.35,4.89,0.4,1.27,0.84,104
4735,Skim Milk,77,6.01,3.42,8.08,6.09,0.13,3.02,0.46,143
4736,Soy Milk,58,4.2,4.16,11.33,1.25,0.37,1.61,0.84,113
4737,Almond Milk,45,7.4,4.44,10.97,8.41,0.57,2.55,0.76,80
4738,Cashew Milk,42,7.67,4.51,8.78,4.06,0.95,4.95,0.82,113
4739,Skim Milk,63,2.27,2.75,2.83,6.55,0.16,7.06,0.25,112
4740,Whole Milk,72,2.31,4.16,6.93,4.36,0.64,2.21,0.88,105
4741,Coconut Milk,73,7.36,1.15,9.9,7.09,0.6,5.27,0.41,105
4742,2% Milk,60,6.39,0.61,4.34,5.75,0.06,6.67,0.14,140
4743,Oat Milk,49,0.58,0.76,10.91,2.35,0.92,7.5,0.67,144
4744,Cashew Milk,55,2.97,4.53,6.53,6.6,0.08,2.8,0.07,89
4745,Whole Milk,51,5.6,0.7,3.13,2.3,0.93,6.51,0.97,120
4746,Coconut Milk,47,2.32,2.79,6.5,4.75,0.89,2.26,0.93,149
4747,2% Milk,64,4.79,2.44,6.87,5.38,0.73,3.68,0.43,85
4748,Almond Milk,65,6.23,3.19,3.76,5.6,0.62,4.26,0.68,105
4749,Cashew Milk,68,6.76,2.12,5.94,7.34,0.27,1.38,0.72,126
4750,2% Milk,66,4.54,4.88,4.89,8.62,0.96,6.68,0.61,84
4751,2% Milk,56,6.89,4.41,4.93,5.67,0.18,1.65,0.7,150
4752,Almond Milk,55,0.61,1.04,1.41,6.74,0.58,3.27,0.09,98
4753,2% Milk,63,5.3,2.03,4.29,9.55,0.24,7.65,0.49,140
4754,Oat Milk,71,2.36,0.13,5.1,0.69,0.28,3.0,0.14,97
4755,Whole Milk,75,6.91,2.29,8.79,6.93,0.15,1.11,0.21,99
4756,Soy Milk,75,6.29,4.83,8.27,3.13,0.39,6.21,0.96,127
4757,Almond Milk,67,1.78,0.63,7.16,5.26,0.27,7.71,0.85,129
4758,Almond Milk,53,3.17,1.6,2.69,8.73,0.7,3.43,0.04,90
4759,Almond Milk,57,4.95,1.75,7.87,6.84,0.08,4.66,0.02,138
4760,2% Milk,55,2.81,0.15,1.78,9.48,0.82,7.54,0.71,117
4761,Coconut Milk,49,5.76,3.02,3.21,2.42,0.4,4.56,0.76,83
4762,Whole Milk,79,6.91,4.54,11.74,5.09,0.89,7.06,0.06,110
4763,Whole Milk,52,1.01,3.17,3.42,4.4,0.99,3.49,0.69,92
4764,2% Milk,61,4.02,4.01,7.82,5.11,0.47,1.87,0.04,98
