Id,Product Name,Energy (kcal),Total Fat (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
1287,Almond Milk,47,3.23,1.46,2.86,1.66,0.4,6.92,0.13,100
1288,Cashew Milk,76,1.36,0.59,8.72,4.36,0.86,1.92,0.87,91
1289,Skim Milk,57,7.03,3.89,10.42,8.13,0.76,5.38,1.0,115
1290,Cashew Milk,57,5.38,3.89,1.42,3.16,0.21,2.32,0.28,137
1291,Oat Milk,43,6.35,0.45,1.61,7.0,0.11,7.31,0.69,116
1292,Oat Milk,72,3.63,2.12,2.33,8.16,0.43,3.0,0.93,83
1293,Skim Milk,57,3.13,4.85,10.51,3.57,0.92,6.07,0.38,133
1294,Coconut Milk,63,5.84,0.51,4.69,5.21,0.77,5.21,0.86,121
1295,Cashew Milk,75,2.92,2.87,3.89,4.23,0.97,2.01,0.13,123
1296,Soy Milk,80,4.0,1.92,4.21,7.73,0.07,7.37,0.09,136
1297,Whole Milk,77,3.66,3.89,8.65,5.81,0.65,6.83,0.86,135
1298,Skim Milk,60,7.38,2.15,7.46,4.2,0.23,1.29,0.48,120
1299,Whole Milk,50,4.08,0.96,4.29,3.03,0.77,4.48,0.2,126
1300,Skim Milk,58,3.66,4.6,9.27,5.03,0.31,1.75,0.2,85
1301,Almond Milk,77,7.95,0.75,11.5,1.34,0.8,3.03,0.39,110
1302,Coconut Milk,80,5.51,4.2,10.0,1.4,0.14,5.02,0.55,86
1303,Coconut Milk,40,5.47,0.41,5.31,0.77,0.25,2.12,0.95,105
1304,Whole Milk,51,3.55,1.37,7.51,7.34,0.2,4.31,0.31,130
1305,Whole Milk,62,1.7,0.58,7.33,1.08,0.84,6.6,0.0,96
1306,Soy Milk,70,0.65,2.49,5.82,4.45,0.87,4.55,0.21,145
1307,Coconut Milk,43,4.05,2.15,9.59,6.67,0.75,4.08,0.8,149
1308,2% Milk,55,4.53,3.68,10.58,5.94,0.05,6.15,0.89,144
1309,Soy Milk,62,3.65,1.8,10.53,7.09,0.25,2.3,0.59,140
1310,Oat Milk,78,2.22,0.84,11.76,8.76,0.05,3.41,0.88,108
1311,2% Milk,47,1.63,2.74,7.89,3.67,0.72,3.84,0.5,120
1312,Skim Milk,75,2.75,1.72,8.09,3.13,0.24,4.3,0.64,124
1313,Soy Milk,74,7.52,4.57,1.14,6.85,0.12,7.77,0.76,100
1314,2% Milk,62,4.65,2.26,4.68,0.71,0.06,3.96,0.32,127
1315,Whole Milk,63,5.92,2.85,6.34,1.43,0.44,4.18,0.47,116
1316,Skim Milk,47,5.73,1.94,6.76,9.87,0.18,5.16,0.12,112
1317,Soy Milk,76,3.74,2.66,11.29,8.71,0.05,5.09,0.67,89
1318,Oat Milk,58,2.35,2.17,2.25,2.98,0.61,3.58,0.82,120
1319,Oat Milk,55,3.16,4.9,4.73,2.25,0.39,7.13,0.69,125
1320,Coconut Milk,61,2.32,0.24,4.36,0.72,0.78,7.4,0.08,115
1321,2% Milk,49,2.84,4.14,6.67,6.45,0.85,2.59,0.99,147
1322,Soy Milk,51,4.05,1.0,3.02,8.01,0.42,1.19,0.45,80
1323,Skim Milk,71,5.09,3.85,3.1,1.61,0.71,4.79,0.44,102
1324,Soy Milk,51,0.88,0.29,1.52,1.8,0.62,7.89,0.11,88
1325,Oat Milk,63,0.77,2.29,6.29,4.08,0.88,5.19,0.04,97
1326,Skim Milk,50,1.25,4.67,11.64,1.36,0.76,1.09,0.39,126
1327,Oat Milk,48,3.82,1.49,11.79,3.66,0.56,2.34,0.31,95
1328,Soy Milk,80,4.09,2.96,8.09,5.83,0.05,6.87,0.8,118
1329,Soy Milk,63,6.43,1.62,4.18,4.21,0.81,7.13,0.1,115
1330,Cashew Milk,43,0.92,4.5,7.32,2.77,0.47,2.51,0.51,128
1331,2% Milk,45,7.91,4.02,3.23,6.53,0.88,4.44,0.57,136
1332,Cashew Milk,77,6.39,4.17,4.13,6.46,0.46,4.25,0.78,91
1333,Oat Milk,44,3.48,4.47,11.51,7.3,0.42,4.32,0.77,89
1334,Oat Milk,70,2.79,0.73,6.99,1.39,0.91,6.92,0.86,149
1335,Soy Milk,80,3.4,4.38,2.98,1.83,0.98,6.22,0.32,83
1336,Almond Milk,79,2.14,4.44,7.43,3.11,0.15,3.07,0.41,132
1337,Oat Milk,43,6.95,4.84,6.41,9.33,0.01,1.69,0.19,112
1338,Coconut Milk,68,4.77,3.0,6.3,6.36,0.67,5.32,0.88,92
1339,2% Milk,52,4.75,3.65,11.81,5.44,0.53,1.84,0.94,127
1340,Coconut Milk,78,1.14,1.64,8.47,3.2,0.45,6.13,0.34,136
1341,Cashew Milk,50,6.13,3.0,10.65,2.32,0.13,6.54,0.31,136
1342,Oat Milk,53,6.03,3.01,2.73,5.82,0.77,6.2,0.02,111
1343,Cashew Milk,56,6.3,2.81,11.42,1.14,0.01,2.14,0.89,124
1344,2% Milk,75,1.92,4.7,8.78,9.57,0.69,3.66,0.34,113
1345,2% Milk,72,1.69,2.81,10.94,2.05,0.03,1.61,0.76,149
1346,Skim Milk,70,5.91,3.81,2.41,5.65,0.77,3.5,0.41,143
1347,Whole Milk,68,1.98,2.95,10.92,9.67,0.74,3.59,0.78,141
1348,Coconut Milk,55,5.01,4.76,8.75,2.84,0.01,5.5,0.9,131
1349,Whole Milk,46,1.99,3.74,4.71,8.48,0.53,7.71,0.08,135
1350,Oat Milk,50,7.39,0.89,2.01,5.03,0.03,2.79,0.99,89
1351,Cashew Milk,52,4.62,4.78,2.54,2.85,0.77,1.03,0.74,137
1352,Whole Milk,63,6.59,3.18,7.88,3.46,0.77,5.89,0.21,121
1353,Oat Milk,45,6.53,0.18,8.48,7.67,0.41,5.94,0.49,126
1354,Almond Milk,65,1.57,0.75,8.23,7.4,0.35,7.34,0.91,145
1355,Cashew Milk,70,1.39,1.76,2.59,0.69,0.25,7.4,0.2,150
1356,Soy Milk,67,1.41,4.42,9.2,3.4,0.92,4.07,0.77,136
1357,Cashew Milk,68,5.38,4.72,8.24,1.34,0.39,4.17,0.77,126
1358,Oat Milk,72,6.78,0.78,11.22,8.09,0.61,4.09,0.73,108
1359,Oat Milk,78,6.38,4.44,4.8,8.31,0.84,5.19,0.01,134
1360,Soy Milk,52,3.87,2.46,4.36,9.28,0.65,7.06,0.84,86
1361,Cashew Milk,58,7.53,2.05,7.59,1.43,0.31,1.01,0.66,105
1362,Skim Milk,46,6.57,1.16,9.68,9.56,0.18,7.36,0.76,140
1363,Almond Milk,67,0.63,3.34,1.34,3.0,0.28,3.39,0.53,107
1364,Soy Milk,74,6.68,3.13,4.2,2.62,0.74,4.87,0.85,101
1365,Almond Milk,76,1.48,2.04,2.54,1.78,0.7,1.82,0.1,89
1366,Soy Milk,79,6.41,3.72,3.52,4.3,0.39,1.32,0.51,93
1367,Almond Milk,76,7.32,2.04,8.33,1.87,0.52,2.01,0.76,120
1368,Skim Milk,68,4.89,0.99,6.95,9.28,0.65,6.98,0.38,108
1369,Skim Milk,64,6.85,3.26,9.87,6.29,0.3,5.55,0.01,103
1370,Coconut Milk,56,7.28,3.32,2.8,4.6,0.7,5.66,0.78,102
1371,Whole Milk,73,4.73,1.13,3.54,4.72,0.62,2.01,0.65,114
1372,Whole Milk,60,4.68,1.14,2.77,0.76,0.34,3.46,0.27,85
1373,Coconut Milk,63,1.11,3.08,10.86,7.54,0.77,1.19,0.14,132
1374,2% Milk,62,3.34,2.82,6.06,0.56,0.67,6.23,0.9,131
1375,2% Milk,57,4.33,4.99,8.09,5.71,0.09,3.72,0.13,93
1376,Skim Milk,64,2.79,0.84,8.59,9.13,0.71,4.75,0.88,148
1377,Soy Milk,52,1.32,3.78,1.4,6.26,0.3,6.55,0.83,106
1378,Cashew Milk,76,3.58,0.85,11.23,9.28,0.22,2.85,0.3,125
1379,Whole Milk,72,3.74,3.53,8.9,4.98,0.0,3.56,0.44,101
1380,Whole Milk,54,4.56,2.16,6.88,5.35,0.53,5.7,0.97,100
1381,Skim Milk,67,5.16,4.72,2.86,9.6,0.95,2.83,0.77,126
1382,Whole Milk,73,2.5,2.5,11.19,2.38,0.02,1.06,0.9,82
1383,Coconut Milk,77,4.52,3.52,5.92,6.91,0.09,6.88,0.73,118
1384,Cashew Milk,52,4.87,2.09,1.3,9.87,0.33,6.25,0.82,137
1385,Whole Milk,65,3.2,4.73,10.08,6.18,0.65,3.75,0.71,108
1386,Coconut Milk,66,7.21,4.11,6.8,5.23,0.9,3.65,0.61,114
1387,Almond Milk,53,1.2,1.38,7.62,8.74,0.12,6.62,0.39,124
1388,2% Milk,50,2.62,4.87,2.04,2.86,0.7,2.13,0.16,125
1389,2% Milk,52,7.41,2.89,6.54,2.42,1.0,4.49,0.22,95
1390,Skim Milk,56,4.49,0.5,1.14,6.9,0.57,6.52,0.6,98
1391,Skim Milk,47,0.72,3.33,5.1,6.69,0.88,1.16,0.71,107
1392,Coconut Milk,57,7.32,0.63,8.36,7.36,0.14,1.32,0.23,115
1393,Almond Milk,43,4.64,1.28,9.62,9.66,0.41,7.75,0.17,93
1394,Almond Milk,47,6.29,0.5,1.94,6.76,0.11,7.19,0.7,108
1395,Coconut Milk,67,0.89,4.12,4.11,7.32,0.89,4.11,0.67,140
1396,Soy Milk,68,7.52,3.47,5.36,5.56,0.12,1.18,0.75,121
1397,Skim Milk,66,4.03,3.61,5.48,5.27,0.63,5.01,0.78,83
1398,2% Milk,77,1.69,1.09,2.48,5.83,0.4,6.6,0.24,133
1399,Almond Milk,75,3.61,3.48,10.62,5.2,0.94,7.24,0.33,85
1400,Skim Milk,58,5.1,3.59,4.19,0.78,0.43,2.02,0.94,123
1401,Whole Milk,56,6.69,0.56,9.17,1.22,0.36,4.27,0.05,119
1402,Cashew Milk,65,2.93,1.21,10.3,9.93,0.41,6.57,0.22,96
1403,Cashew Milk,80,5.91,1.16,2.95,0.6,0.28,4.85,0.86,93
1404,Cashew Milk,63,4.74,2.23,5.25,5.79,0.88,7.12,0.78,85
1405,Cashew Milk,41,2.37,0.79,4.42,7.02,0.04,4.25,0.03,135
1406,Oat Milk,76,4.29,1.53,5.98,2.13,0.1,4.2,0.67,85
1407,Oat Milk,61,6.74,1.8,11.68,7.94,0.49,2.38,0.87,100
1408,Almond Milk,79,2.24,1.41,7.69,5.94,0.46,6.71,0.91,123
1409,Skim Milk,74,1.43,3.95,6.92,2.42,0.81,6.09,0.06,130
1410,Oat Milk,43,4.24,2.15,4.8,7.7,0.88,3.53,0.37,117
1411,Skim Milk,41,6.29,2.02,10.44,7.46,0.8,5.6,0.6,85
1412,Whole Milk,67,5.57,0.42,10.97,8.97,0.15,6.47,0.04,120
1413,Almond Milk,54,3.5,2.57,3.46,8.01,0.49,2.22,0.94,94
1414,Oat Milk,61,6.42,1.28,8.71,5.91,0.49,3.69,0.97,132
1415,Skim Milk,46,7.35,1.36,6.93,8.14,0.41,6.2,0.83,108
1416,Coconut Milk,42,6.25,0.66,7.45,2.03,0.08,5.31,0.39,150
1417,Almond Milk,77,6.62,4.64,6.42,6.29,0.71,6.97,0.84,130
1418,Oat Milk,52,5.23,4.77,9.17,7.02,0.25,2.46,0.29,85
1419,Coconut Milk,78,7.45,2.96,7.47,5.47,0.22,5.14,0.18,141
1420,Oat Milk,48,4.99,1.4,4.38,5.96,0.7,3.12,0.18,114
1421,Cashew Milk,43,3.62,2.49,9.16,7.93,0.85,3.55,0.51,129
1422,Soy Milk,42,2.5,2.44,7.99,0.55,0.23,6.5,0.95,96
1423,Cashew Milk,53,2.02,1.79,11.84,9.03,0.14,2.21,0.97,139
1424,Skim Milk,72,3.64,4.8,3.93,2.45,0.5,3.45,0.28,121
1425,Soy Milk,56,7.95,4.85,5.04,4.64,0.64,1.36,0.7,101
1426,Skim Milk,50,1.01,2.64,2.89,3.44,0.92,3.0,0.81,122
1427,Soy Milk,52,1.08,0.44,1.32,7.15,0.53,1.37,0.36,135
1428,Cashew Milk,71,4.24,3.52,9.14,6.15,0.78,6.89,0.45,119
1429,Whole Milk,80,3.47,4.76,3.77,3.35,0.96,4.35,0.33,110
1430,Soy Milk,52,5.54,0.7,11.91,9.04,0.77,3.03,0.0,138
1431,Almond Milk,68,7.67,1.85,4.92,6.89,0.71,1.15,0.85,119
1432,Soy Milk,54,2.33,2.26,5.58,8.57,0.89,1.23,0.31,131
1433,Cashew Milk,58,2.65,0.89,4.09,8.25,0.82,4.75,0.59,95
1434,Cashew Milk,43,6.53,3.6,1.02,4.79,0.4,5.73,0.52,121
1435,Coconut Milk,79,4.86,0.79,11.69,4.25,0.43,4.6,0.38,92
1436,Coconut Milk,53,3.7,0.26,11.75,7.78,0.52,3.34,0.87,89
1437,Coconut Milk,41,6.13,0.26,8.32,1.26,0.21,4.4,0.6,91
1438,Almond Milk,55,2.21,4.94,1.32,5.94,0.02,2.63,0.62,134
1439,2% Milk,44,2.16,3.57,2.35,5.72,0.97,3.24,0.13,120
1440,2% Milk,69,6.39,4.69,4.86,4.68,0.26,4.28,0.5,107
1441,Cashew Milk,63,6.73,3.69,6.99,9.91,0.58,1.69,0.3,87
1442,Whole Milk,49,7.16,0.99,4.28,9.49,0.82,7.13,0.08,117
1443,Cashew Milk,51,5.97,2.97,11.96,5.57,0.34,2.93,0.7,137
1444,Oat Milk,59,7.32,2.38,6.63,9.81,0.6,5.82,0.51,128
1445,Cashew Milk,43,5.84,0.57,9.45,7.03,0.26,7.53,0.66,132
1446,Skim Milk,66,4.1,2.47,5.87,7.91,0.33,7.78,0.11,106
1447,Skim Milk,61,1.03,4.99,6.62,2.07,0.21,4.0,0.92,103
1448,2% Milk,64,3.91,2.14,1.29,8.79,0.69,7.91,0.95,110
1449,Soy Milk,51,5.81,3.07,4.75,3.61,0.3,5.12,0.73,133
1450,Skim Milk,42,6.57,1.14,2.33,3.78,0.97,4.25,0.53,145
1451,2% Milk,54,6.58,2.26,2.21,4.24,0.91,2.05,0.41,118
1452,2% Milk,46,3.93,4.8,4.12,5.93,0.44,3.82,0.69,101
1453,Oat Milk,58,6.78,0.89,7.4,1.9,0.83,3.05,0.32,112
1454,Soy Milk,76,4.09,3.96,1.82,8.3,0.9,5.44,0.63,119
1455,2% Milk,48,7.9,4.06,7.5,8.14,0.4,3.06,0.74,124
1456,Soy Milk,76,5.85,4.69,4.31,9.6,1.0,4.52,0.1,100
1457,Cashew Milk,42,3.13,4.21,4.03,1.95,0.92,5.34,0.79,80
1458,2% Milk,71,3.86,1.83,4.59,2.69,0.15,7.24,0.73,90
1459,Oat Milk,48,2.4,3.95,9.86,7.79,0.14,3.65,0.6,111
1460,Cashew Milk,52,5.67,2.3,5.4,3.96,0.81,4.74,0.61,115
1461,Soy Milk,64,6.23,3.06,4.97,2.58,0.04,6.95,0.68,94
1462,Skim Milk,66,3.71,4.22,9.25,8.64,0.77,6.02,0.01,111
1463,Oat Milk,48,4.85,3.71,4.98,9.36,0.78,7.66,0.86,143
1464,Oat Milk,53,1.77,1.87,8.13,2.87,0.09,5.21,0.74,131
1465,Soy Milk,68,3.38,1.49,9.12,3.73,0.14,3.79,0.29,99
1466,Cashew Milk,73,7.88,4.94,7.1,6.95,0.82,3.55,0.64,117
1467,Oat Milk,60,7.48,3.95,3.26,8.93,0.1,1.15,0.27,148
1468,Almond Milk,70,6.46,4.24,2.55,0.89,0.35,5.88,0.25,119
1469,Oat Milk,74,0.59,3.92,10.2,4.07,0.78,5.76,0.65,97
1470,Coconut Milk,58,2.9,2.11,9.45,9.06,0.31,2.23,0.19,148
1471,Almond Milk,70,5.11,0.49,1.25,6.98,0.32,3.43,0.4,89
1472,2% Milk,77,4.71,1.13,3.2,3.62,0.56,2.33,0.97,136
1473,Whole Milk,79,5.69,3.08,4.66,6.66,0.61,1.04,0.97,148
1474,Almond Milk,47,3.88,4.76,3.03,9.95,0.49,7.65,0.33,84
1475,Coconut Milk,53,2.39,4.41,11.62,9.33,0.45,6.78,0.23,140
1476,Soy Milk,60,7.89,2.03,10.73,2.03,0.84,1.91,0.24,98
1477,Whole Milk,43,5.79,3.13,8.2,7.38,0.75,4.23,0.44,99
1478,Skim Milk,43,3.13,4.06,1.51,6.22,0.21,5.83,0.42,82
1479,Soy Milk,79,2.2,4.74,8.1,7.48,0.89,1.8,0.92,112
1480,Oat Milk,50,2.57,1.75,10.9,3.48,0.78,6.18,0.32,96
1481,Cashew Milk,41,6.44,3.13,6.8,9.14,0.7,5.18,0.85,88
1482,Whole Milk,75,2.17,1.18,4.47,1.11,0.43,5.19,0.34,139
1483,2% Milk,64,4.15,3.76,11.95,4.03,0.32,1.61,0.35,116
1484,Almond Milk,43,6.85,2.44,11.76,8.59,0.63,3.24,0.71,113
1485,Coconut Milk,60,2.2,3.33,7.73,4.57,0.51,2.3,0.5,147
1486,Whole Milk,69,7.24,4.27,8.14,2.36,0.64,5.55,0.55,88
1487,Whole Milk,73,2.51,3.54,9.21,9.74,0.09,1.71,0.45,142
1488,Whole Milk,59,2.69,0.28,1.44,2.79,0.46,7.58,0.89,112
1489,Skim Milk,57,3.77,0.65,10.5,5.67,0.17,1.4,0.04,90
1490,Skim Milk,68,7.96,2.01,9.92,6.21,0.01,3.32,0.5,101
1491,Cashew Milk,76,2.33,0.48,8.4,9.44,0.83,7.36,0.52,97
1492,Whole Milk,63,1.68,4.59,8.62,3.31,0.91,3.13,0.57,143
1493,Cashew Milk,40,4.57,0.12,1.8,4.56,0.32,2.72,0.32,141
1494,2% Milk,42,3.63,3.45,7.14,6.05,0.76,3.01,0.82,128
1495,Soy Milk,53,3.94,1.22,6.59,8.95,0.74,4.95,0.84,135
1496,Almond Milk,78,6.54,0.55,7.16,8.79,0.04,1.53,0.19,100
1497,Soy Milk,51,3.49,0.58,6.49,3.47,0.41,7.86,0.48,128
1498,Soy Milk,67,7.6,4.44,7.85,2.41,0.96,3.54,0.33,123
1499,Almond Milk,52,2.24,4.0,2.2,8.18,0.56,2.58,0.4,129
1500,Soy Milk,68,7.67,2.84,11.33,9.15,0.43,5.19,0.29,122
1501,Whole Milk,74,2.08,0.8,6.0,3.76,0.7,2.76,0.47,145
1502,Almond Milk,52,4.08,2.18,10.74,5.21,0.87,2.02,0.99,122
1503,Cashew Milk,66,4.62,2.81,6.17,1.23,0.87,1.76,0.1,129
1504,Almond Milk,50,6.33,2.29,7.15,9.9,0.7,4.01,0.8,128
1505,2% Milk,47,5.99,3.43,10.71,7.57,0.29,6.6,0.87,106
1506,Soy Milk,53,4.42,2.89,2.55,9.05,0.53,7.48,0.99,136
1507,Skim Milk,49,1.85,3.15,6.72,1.63,0.21,1.45,0.51,139
1508,Almond Milk,40,3.43,3.85,1.79,2.06,0.56,7.42,0.01,99
1509,Oat Milk,73,1.69,3.34,1.19,1.45,0.54,2.45,0.46,86
1510,Whole Milk,76,3.29,1.68,5.96,3.22,0.01,1.82,0.42,111
1511,Coconut Milk,69,7.13,3.25,10.58,5.64,0.21,1.13,0.74,121
1512,Whole Milk,41,4.47,1.15,6.68,4.87,0.4,6.95,0.44,94
1513,Almond Milk,47,6.95,1.59,10.22,4.4,0.08,3.9,0.81,130
1514,Whole Milk,46,2.92,0.29,7.51,3.06,0.17,6.31,0.33,122
1515,Almond Milk,59,4.26,4.83,3.97,4.64,0.62,4.07,0.88,106
1516,Cashew Milk,45,5.42,0.9,4.07,6.07,0.66,2.98,0.89,108
1517,2% Milk,75,1.4,0.26,6.19,7.1,0.36,2.5,0.28,104
1518,Coconut Milk,62,6.6,2.05,11.38,2.22,0.3,7.16,0.06,121
1519,Soy Milk,48,7.82,1.98,10.06,1.06,0.31,6.77,0.67,129
1520,Oat Milk,47,7.26,2.42,2.09,5.1,0.02,2.23,0.3,142
1521,Soy Milk,66,4.69,0.44,4.96,1.61,0.48,7.84,0.12,82
1522,Almond Milk,72,4.73,0.27,6.69,8.18,0.87,6.76,0.68,95
1523,Skim Milk,60,7.37,2.92,6.86,2.86,0.87,6.89,0.41,137
1524,Soy Milk,79,7.95,2.67,9.49,9.54,0.43,5.39,0.65,139
1525,Almond Milk,79,1.71,4.81,6.78,6.15,0.97,6.15,0.43,123
1526,Cashew Milk,64,1.6,3.13,4.62,5.17,0.53,1.11,0.68,149
1527,2% Milk,68,3.16,2.56,1.01,8.8,0.72,1.06,0.11,134
1528,Coconut Milk,57,4.9,4.59,6.88,7.23,0.03,3.54,0.54,82
1529,Skim Milk,77,7.07,2.76,2.98,2.96,0.59,5.18,0.76,95
1530,Skim Milk,79,2.15,2.29,4.29,4.27,0.46,5.01,0.33,107
1531,Almond Milk,61,4.19,3.46,3.75,5.16,0.58,2.45,0.29,145
1532,Skim Milk,61,7.77,4.99,7.98,6.54,0.76,5.65,0.59,126
1533,Skim Milk,44,2.2,0.53,1.9,3.39,0.44,2.93,0.05,137
1534,Almond Milk,75,7.13,0.61,6.96,1.73,0.85,4.46,0.4,118
1535,Soy Milk,67,6.62,3.22,8.06,4.87,0.21,5.34,0.72,138
1536,Almond Milk,62,5.41,4.81,10.16,1.91,0.25,5.16,0.89,130
1537,Coconut Milk,61,4.03,1.86,4.07,6.85,0.65,7.76,0.49,117
1538,Soy Milk,47,1.66,4.05,9.68,8.96,0.15,3.56,0.2,80
1539,Almond Milk,79,2.61,1.3,2.46,7.58,0.56,2.41,0.81,116
1540,Cashew Milk,53,5.71,3.23,3.76,7.3,0.83,7.06,0.58,85
1541,Whole Milk,58,7.15,4.52,8.36,3.62,0.99,2.84,0.63,80
1542,Coconut Milk,41,5.12,2.25,10.1,3.42,0.55,4.7,0.34,98
1543,2% Milk,44,2.63,2.7,2.62,1.17,0.59,4.85,0.6,147
1544,Coconut Milk,72,3.13,1.09,6.43,7.68,0.42,4.3,0.12,87
1545,Soy Milk,45,6.69,2.18,3.29,6.91,0.27,2.26,0.96,81
1546,Whole Milk,41,5.77,4.03,4.51,6.85,0.76,6.56,0.94,111
1547,Oat Milk,42,1.8,3.12,8.24,0.71,0.42,6.54,0.81,90
1548,Soy Milk,40,0.69,3.3,7.67,2.92,0.93,6.58,0.41,88
1549,Soy Milk,60,2.39,3.92,3.57,8.08,0.28,6.37,0.09,145
1550,Skim Milk,79,2.13,4.95,6.55,4.94,0.01,7.9,0.83,121
1551,Skim Milk,77,5.83,3.72,7.22,7.87,0.45,4.94,0.51,143
1552,Soy Milk,69,5.27,4.52,8.22,2.73,0.55,1.07,0.84,101
1553,Skim Milk,72,4.58,4.33,9.53,2.01,0.92,4.2,0.04,80
1554,Cashew Milk,47,3.78,3.81,8.28,9.17,0.68,6.8,0.6,126
1555,Skim Milk,51,0.58,2.83,6.93,7.59,0.17,4.69,0.87,140
1556,Cashew Milk,48,2.71,2.27,7.45,5.15,0.08,6.76,0.46,102
1557,Whole Milk,54,5.89,4.48,10.83,3.42,0.73,2.14,0.03,80
1558,Skim Milk,71,2.4,1.16,11.02,9.74,0.64,3.38,0.55,101
1559,Whole Milk,48,2.33,1.83,9.46,1.03,0.62,4.7,0.69,136
1560,Almond Milk,79,1.79,4.25,4.23,8.83,0.02,4.12,0.4,97
1561,Almond Milk,44,6.26,3.88,4.6,7.55,0.03,4.31,0.03,104
1562,Whole Milk,58,4.55,4.37,9.83,3.54,0.66,1.79,0.59,91
1563,Cashew Milk,46,7.8,3.82,5.78,6.52,0.02,5.46,0.66,142
1564,Oat Milk,60,5.68,1.04,5.18,6.78,0.62,3.22,0.06,130
1565,Coconut Milk,42,7.74,1.41,4.98,6.15,0.25,5.26,0.98,80
1566,Soy Milk,70,7.5,3.28,2.37,2.52,0.19,5.87,0.52,141
1567,Whole Milk,69,2.76,1.47,10.71,6.57,0.16,1.63,0.8,88
1568,Coconut Milk,68,2.6,4.98,3.63,7.91,0.79,6.77,0.61,141
1569,Whole Milk,62,2.51,0.55,4.66,3.7,0.31,7.36,0.53,135
1570,Oat Milk,67,5.54,1.47,11.43,5.47,0.04,4.32,0.1,129
1571,Skim Milk,55,4.52,1.55,10.63,4.37,0.0,1.79,0.68,147
1572,Skim Milk,60,5.31,3.62,2.98,9.5,0.53,4.93,0.56,106
1573,2% Milk,50,6.83,0.79,10.15,2.56,0.37,2.69,0.25,117
1574,Almond Milk,57,7.8,0.14,3.0,2.16,0.16,3.83,0.19,136
1575,Soy Milk,77,5.1,3.04,4.87,9.54,0.04,6.57,0.93,107
1576,Oat Milk,42,2.48,0.14,8.93,5.84,0.77,3.52,0.9,82
1577,Cashew Milk,50,4.27,0.63,9.07,7.93,0.15,4.95,0.84,138
1578,Soy Milk,54,6.5,0.31,5.51,2.96,0.52,6.91,0.93,150
1579,Coconut Milk,75,1.27,0.43,9.33,4.34,0.54,1.46,0.76,108
1580,Soy Milk,68,2.61,1.86,9.38,6.93,0.27,4.78,0.1,119
1581,Soy Milk,77,2.85,2.23,8.79,1.99,0.82,1.19,0.58,119
1582,Whole Milk,72,2.53,4.76,10.42,2.27,0.99,3.58,0.18,132
1583,Oat Milk,78,3.88,2.3,3.19,7.46,0.08,6.64,0.44,98
1584,Almond Milk,67,1.9,0.59,3.66,3.11,0.47,5.83,0.65,114
1585,Soy Milk,60,3.47,4.78,9.34,9.7,0.61,4.7,0.21,113
1586,Cashew Milk,59,6.86,2.29,11.54,3.24,0.79,4.9,0.26,126
1587,Whole Milk,46,4.41,0.94,10.59,7.99,0.05,5.34,0.87,138
1588,Skim Milk,76,7.72,4.22,3.65,3.95,0.56,7.82,0.94,135
1589,Soy Milk,73,0.85,4.31,4.84,6.56,0.01,7.23,0.72,92
1590,Almond Milk,43,1.58,3.98,9.14,4.97,0.81,1.14,0.27,110
1591,Oat Milk,60,2.24,3.33,8.56,1.7,0.86,4.72,0.64,82
1592,2% Milk,61,2.74,3.26,9.44,5.35,0.03,2.51,0.57,107
1593,Cashew Milk,77,3.46,1.06,1.13,2.24,0.39,2.16,0.02,107
1594,Soy Milk,47,1.11,1.55,1.68,8.9,0.69,5.76,0.44,140
1595,Oat Milk,73,1.2,0.84,10.11,3.39,0.74,3.3,0.19,129
1596,Coconut Milk,46,6.52,0.24,5.42,9.5,0.15,1.98,0.67,90
1597,Soy Milk,53,2.1,3.42,11.31,7.45,0.93,3.2,0.01,142
1598,Cashew Milk,79,1.56,2.52,11.29,6.29,0.8,6.54,0.1,104
1599,Coconut Milk,72,7.16,1.98,3.31,6.8,0.76,3.22,0.05,110
1600,Coconut Milk,78,5.05,2.56,5.47,6.55,0.09,6.97,0.95,82
1601,Coconut Milk,74,5.92,1.94,7.52,0.68,0.74,2.43,0.96,146
1602,Whole Milk,44,2.22,4.07,2.57,7.31,0.19,6.06,0.96,140
1603,Cashew Milk,40,6.61,0.62,5.79,1.15,0.51,3.32,0.15,137
1604,Whole Milk,56,4.58,2.84,6.38,1.3,0.17,3.62,0.57,106
1605,Skim Milk,48,7.35,0.89,9.18,0.7,0.96,6.12,0.06,82
1606,Cashew Milk,40,7.26,0.13,7.11,1.46,0.71,5.42,0.65,124
1607,Whole Milk,70,4.57,0.64,11.99,6.82,0.76,1.09,0.7,114
1608,Cashew Milk,55,6.98,4.24,3.11,5.97,0.33,2.83,0.81,116
1609,Cashew Milk,75,4.25,0.74,11.81,4.31,0.92,3.47,0.3,146
1610,Almond Milk,44,1.21,1.95,1.51,4.2,0.82,4.86,0.41,111
1611,Oat Milk,77,2.23,3.47,4.19,2.14,0.28,3.48,0.33,98
1612,Oat Milk,64,5.7,2.09,8.21,9.31,0.28,1.1,0.64,147
1613,Coconut Milk,45,3.68,4.17,2.46,0.85,0.46,5.9,0.0,131
1614,Coconut Milk,57,5.64,0.26,2.35,7.29,0.48,6.34,0.06,147
1615,2% Milk,80,4.47,0.97,9.75,4.04,0.07,1.46,0.03,136
1616,Skim Milk,47,7.83,1.35,5.92,2.19,0.3,1.2,0.67,81
