Id,Product Name,Energy (kcal),Fat Percentage (g),Saturated Fat (g),Carbohydrates (g),Sugars (g),Fiber (g),Protein (g),Salt (g),Calcium (mg)
4933,Coconut Milk,48,2.48,2.23,10.41,5.0,0.95,3.78,0.37,85
4934,2% Milk,40,0.89,4.85,4.51,7.5,0.39,1.57,0.62,127
4935,Skim Milk,62,6.17,2.21,8.41,6.17,0.6,6.73,0.03,118
4936,Almond Milk,61,2.21,2.68,10.32,2.39,0.63,6.02,0.17,87
4937,2% Milk,63,2.47,4.72,3.87,0.97,0.22,7.98,0.64,124
4938,Whole Milk,65,5.4,0.6,9.98,9.96,0.88,1.97,0.74,145
4939,Skim Milk,65,2.84,2.31,8.23,6.54,0.23,2.4,0.73,128
4940,Coconut Milk,73,6.81,2.81,7.98,2.32,0.54,6.99,0.17,149
4941,Coconut Milk,55,6.27,2.75,8.93,4.63,0.6,6.71,0.84,107
4942,Soy Milk,48,4.43,0.71,1.83,2.59,0.33,5.49,0.69,105
4943,Almond Milk,65,2.21,1.03,1.03,5.42,0.65,5.64,0.58,107
4944,Oat Milk,51,0.77,1.86,7.62,6.19,0.09,4.24,0.05,140
4945,Skim Milk,63,0.73,0.81,2.76,0.9,0.55,5.37,0.88,86
4946,Skim Milk,57,0.9,3.97,2.07,5.92,0.14,3.34,0.11,96
4947,Oat Milk,75,5.47,4.53,10.15,6.17,0.36,5.82,0.56,134
4948,Oat Milk,77,7.09,3.75,5.26,2.71,0.88,1.23,0.57,143
4949,Cashew Milk,74,5.54,3.51,2.55,0.6,0.97,6.19,0.97,92
4950,Almond Milk,49,5.25,3.48,7.81,7.92,0.26,3.53,0.15,116
4951,Coconut Milk,42,1.1,3.47,7.82,2.98,0.02,1.28,0.44,122
4952,Oat Milk,60,7.27,0.91,9.56,8.82,0.22,6.6,0.29,104
4953,Cashew Milk,40,7.88,1.31,11.27,3.06,0.68,3.8,0.06,129
4954,Skim Milk,42,4.73,0.39,3.82,4.52,0.02,1.02,0.02,126
4955,Almond Milk,76,6.2,4.75,10.35,4.8,0.77,6.67,0.57,88
4956,Coconut Milk,40,1.83,3.06,5.65,1.97,0.39,4.04,0.73,145
4957,Oat Milk,52,6.69,2.6,1.2,3.31,0.58,7.13,0.11,116
4958,Oat Milk,60,1.6,2.89,11.89,5.7,0.39,2.18,0.91,128
4959,2% Milk,63,6.3,2.14,2.13,5.76,0.97,3.4,0.91,104
4960,Coconut Milk,60,5.44,1.88,3.98,7.73,0.21,4.49,0.39,87
4961,Oat Milk,56,1.1,3.19,4.38,1.16,0.56,6.77,0.25,130
4962,Cashew Milk,67,0.51,3.07,4.55,3.56,0.46,2.36,0.24,102
4963,Coconut Milk,77,2.24,0.52,1.06,2.04,0.86,7.77,0.21,89
4964,Skim Milk,51,3.9,1.3,9.16,4.89,0.86,4.03,0.45,140
4965,Whole Milk,74,1.7,2.26,8.14,8.01,0.93,5.28,0.44,108
4966,Coconut Milk,47,7.39,2.39,1.32,8.39,0.62,1.63,0.4,117
4967,Cashew Milk,55,7.77,4.58,4.17,7.93,0.25,7.54,0.77,104
4968,Oat Milk,55,4.12,2.86,10.31,3.8,0.14,5.62,0.99,110
4969,Cashew Milk,60,6.82,4.87,6.71,0.75,0.64,6.61,0.17,85
4970,2% Milk,40,0.67,1.58,1.68,8.72,0.01,4.84,0.41,132
4971,Whole Milk,62,7.72,2.23,10.78,5.91,0.37,2.59,0.51,132
4972,Soy Milk,68,6.82,0.42,6.67,4.72,0.85,6.6,0.22,139
4973,Whole Milk,59,2.48,4.54,10.14,4.63,0.72,7.71,0.11,149
4974,Soy Milk,76,4.21,4.72,3.01,6.33,0.41,4.24,0.68,88
4975,Soy Milk,57,5.87,1.07,9.8,9.53,0.96,4.88,0.91,126
4976,Skim Milk,66,1.43,1.91,4.19,4.26,0.01,4.18,0.73,118
4977,Cashew Milk,58,1.72,4.02,5.9,8.5,0.5,7.8,0.03,83
4978,Skim Milk,46,6.13,4.77,9.12,9.76,1.0,4.96,0.96,84
4979,Cashew Milk,74,3.39,3.39,9.15,0.64,0.46,1.17,0.92,134
4980,Cashew Milk,58,2.37,4.46,6.72,9.47,0.47,6.08,0.22,134
4981,Soy Milk,66,4.01,0.52,9.24,4.05,0.96,6.89,0.0,134
4982,Coconut Milk,71,3.81,2.45,4.38,5.76,0.99,1.3,0.44,114
4983,Coconut Milk,59,7.32,0.99,9.04,10.0,0.6,7.25,0.06,101
4984,Coconut Milk,43,7.01,0.93,2.17,1.88,0.14,7.03,0.33,103
4985,Coconut Milk,63,1.57,0.21,9.98,8.12,0.37,7.56,0.04,82
4986,Almond Milk,67,6.77,4.55,8.41,5.89,0.21,3.58,0.2,106
4987,Cashew Milk,80,6.83,2.73,8.84,1.6,0.74,4.13,0.39,124
4988,Skim Milk,45,4.17,1.53,2.62,8.97,0.32,7.39,0.57,145
4989,Soy Milk,78,6.93,0.68,1.24,2.02,0.6,4.4,0.13,101
4990,Skim Milk,56,3.34,3.08,7.76,7.64,0.63,7.16,0.33,139
4991,Almond Milk,63,6.41,2.64,2.46,2.87,0.7,7.97,0.62,116
4992,Almond Milk,47,7.65,3.63,5.92,6.63,0.68,6.26,0.68,89
4993,Coconut Milk,58,6.49,1.85,6.37,9.92,0.57,4.88,0.36,89
4994,Almond Milk,76,3.34,2.2,4.39,6.87,0.24,7.98,0.01,93
4995,Almond Milk,42,3.38,0.37,2.85,9.09,0.58,6.89,0.44,129
4996,Cashew Milk,61,0.83,2.02,8.68,8.4,0.68,5.8,0.23,140
4997,Almond Milk,44,2.13,0.47,9.11,5.79,0.0,7.66,0.42,134
4998,2% Milk,44,7.47,3.75,8.61,8.02,0.85,2.56,0.53,88
4999,2% Milk,60,5.75,2.43,7.32,5.61,0.48,2.84,0.32,131
5000,Soy Milk,63,2.04,0.65,2.79,4.72,0.29,7.7,0.26,105
5001,Whole Milk,64,4.68,2.16,3.1,3.56,0.3,7.22,0.58,122
5002,2% Milk,66,3.05,0.35,6.17,1.69,0.47,5.3,0.25,101
5003,Coconut Milk,53,1.43,3.96,5.86,4.14,0.63,4.76,0.27,97
5004,Whole Milk,43,7.54,0.86,10.8,8.33,0.05,6.28,0.54,116
5005,Cashew Milk,46,3.44,3.12,8.27,3.52,0.36,7.79,0.95,89
5006,Oat Milk,71,3.24,4.88,7.0,8.88,0.85,4.09,0.84,114
5007,Cashew Milk,51,7.19,4.9,9.14,1.04,0.84,7.6,0.16,145
5008,Oat Milk,75,0.91,2.71,2.2,7.97,0.52,5.8,0.78,142
5009,Skim Milk,61,5.79,4.5,2.06,1.44,0.81,4.06,0.36,123
5010,Almond Milk,42,0.86,4.41,7.14,5.08,0.73,6.48,0.69,93
5011,Oat Milk,66,1.78,3.88,4.07,7.89,0.53,4.22,0.33,130
5012,Skim Milk,63,6.86,4.34,1.01,4.1,0.13,4.85,0.58,136
5013,Coconut Milk,64,1.05,0.91,10.43,5.74,0.78,5.43,0.7,138
5014,Cashew Milk,58,5.25,3.49,4.45,1.01,0.56,6.27,0.2,126
5015,Whole Milk,50,5.92,0.27,3.76,3.71,0.18,7.43,0.8,102
5016,Almond Milk,52,3.95,1.7,7.95,5.01,0.61,4.65,0.84,85
5017,Skim Milk,72,3.22,2.21,2.46,6.27,0.74,4.73,0.88,125
5018,Soy Milk,73,3.93,2.53,2.68,8.64,0.97,2.56,0.44,106
5019,Almond Milk,56,3.57,2.61,6.16,2.09,0.08,4.1,0.59,89
5020,Skim Milk,63,2.62,0.23,11.89,5.46,0.78,1.55,0.32,138
5021,Soy Milk,42,5.83,0.36,1.48,2.29,0.2,2.15,0.02,89
5022,Almond Milk,76,2.47,3.47,9.25,6.81,0.67,2.99,0.79,87
5023,Skim Milk,55,6.67,2.88,3.22,7.57,0.61,2.04,0.76,94
5024,2% Milk,52,6.09,2.83,7.47,1.62,0.95,2.25,0.71,140
5025,2% Milk,53,0.62,2.62,1.63,8.02,0.23,2.55,0.67,128
5026,Oat Milk,55,0.54,1.97,9.06,9.07,0.8,4.7,0.31,138
5027,2% Milk,46,6.03,3.19,2.84,1.17,0.15,1.36,0.66,94
5028,Oat Milk,68,0.75,4.6,3.54,9.43,0.79,2.43,0.27,123
5029,2% Milk,60,5.97,2.96,1.48,0.51,0.61,5.83,0.37,135
5030,Skim Milk,70,1.69,1.31,1.26,6.41,0.64,3.88,0.86,128
5031,Oat Milk,44,2.07,4.71,9.38,4.14,0.19,7.4,0.72,134
5032,Skim Milk,65,4.64,4.83,7.81,3.11,0.18,5.4,0.39,83
5033,Soy Milk,55,7.18,4.51,11.02,1.36,0.9,4.37,0.45,117
5034,Soy Milk,47,0.79,2.75,5.82,6.24,0.16,4.94,0.89,143
5035,Skim Milk,57,7.85,4.87,10.87,2.21,0.25,4.42,0.76,132
5036,Oat Milk,46,1.96,2.75,9.7,4.82,0.04,3.98,0.12,148
5037,Oat Milk,71,2.87,4.3,8.56,4.42,0.04,4.89,0.35,84
5038,Cashew Milk,59,2.15,3.25,4.58,7.29,0.03,7.6,0.43,133
5039,Oat Milk,56,3.76,2.97,1.29,2.01,0.11,5.77,0.9,94
5040,Almond Milk,56,2.58,3.62,4.59,0.96,0.04,7.19,0.31,125
5041,2% Milk,43,2.87,0.94,4.91,1.21,0.3,1.05,0.36,115
5042,Soy Milk,77,0.57,0.12,3.75,2.68,0.95,1.52,0.56,115
5043,Oat Milk,78,2.66,0.89,5.88,3.95,0.4,5.63,0.82,139
5044,Cashew Milk,56,5.02,1.31,11.71,1.55,0.87,3.73,0.0,125
5045,Cashew Milk,59,3.64,2.24,10.94,5.24,0.94,1.24,0.07,98
5046,2% Milk,75,3.9,1.95,5.2,3.0,0.49,5.72,0.34,147
5047,Whole Milk,69,0.94,0.65,11.78,6.26,0.63,7.65,0.54,102
5048,Cashew Milk,56,0.96,1.88,7.35,7.61,0.62,2.03,0.6,137
5049,Almond Milk,44,3.22,3.82,9.04,8.06,0.27,6.15,0.56,92
5050,2% Milk,61,3.89,1.67,2.71,4.28,0.96,2.64,0.4,93
5051,Coconut Milk,69,1.96,0.24,1.45,9.87,0.58,7.56,0.29,95
5052,2% Milk,71,4.97,4.63,3.03,9.34,0.45,7.55,0.82,148
5053,Cashew Milk,48,5.29,4.42,10.25,2.92,0.67,3.25,0.67,132
5054,Almond Milk,52,7.1,4.87,1.79,7.36,0.38,5.35,0.16,145
5055,Whole Milk,55,1.11,3.12,4.46,8.05,0.67,5.08,0.16,126
5056,2% Milk,77,5.86,2.93,9.2,7.78,0.97,6.79,0.29,99
5057,2% Milk,54,6.08,4.63,7.17,1.24,0.8,6.26,0.91,83
5058,2% Milk,42,2.72,0.66,11.26,0.88,0.33,5.93,0.59,109
5059,Almond Milk,72,2.44,1.35,9.3,8.59,0.62,4.46,0.06,146
5060,Soy Milk,59,2.62,0.1,7.8,5.38,0.84,1.66,0.87,139
5061,Coconut Milk,43,6.72,1.9,9.27,9.15,0.46,5.18,0.96,149
5062,Whole Milk,51,7.08,4.74,9.14,1.13,0.67,5.61,0.64,130
5063,Soy Milk,47,1.96,3.18,5.17,2.76,0.61,1.97,0.37,115
5064,Soy Milk,40,5.14,1.73,10.28,5.06,0.81,3.57,0.47,123
5065,Oat Milk,67,7.62,0.69,9.83,4.68,0.94,7.88,0.6,94
5066,Coconut Milk,55,6.94,0.98,1.28,4.83,0.64,2.07,0.87,127
5067,Cashew Milk,63,5.26,0.83,9.62,9.43,0.23,2.74,0.57,121
5068,2% Milk,51,7.93,4.48,6.84,5.29,0.32,1.74,0.53,92
5069,Coconut Milk,53,2.1,3.37,3.71,9.02,0.57,7.01,0.34,136
5070,Coconut Milk,58,6.54,0.58,5.67,3.85,0.29,2.09,0.96,140
5071,Cashew Milk,51,3.84,3.97,6.75,1.6,0.25,5.82,0.86,147
5072,Oat Milk,41,3.49,2.82,8.71,6.89,0.97,4.13,0.77,125
5073,Coconut Milk,51,2.75,0.82,7.46,5.54,0.54,3.52,0.42,121
5074,Cashew Milk,68,2.28,0.91,10.04,9.26,0.16,5.89,0.72,89
5075,Almond Milk,52,3.16,4.33,1.68,9.1,0.86,6.33,0.48,92
5076,Skim Milk,52,0.74,1.66,7.88,3.05,0.05,2.67,0.95,148
5077,Whole Milk,41,0.68,0.35,8.39,6.18,0.94,1.56,0.23,143
5078,Almond Milk,48,7.12,1.69,5.4,1.49,0.62,5.42,0.98,119
5079,Whole Milk,51,6.79,3.79,1.11,7.18,0.07,3.78,0.23,108
5080,2% Milk,52,7.47,2.31,1.3,2.17,0.35,1.24,0.21,103
5081,Skim Milk,78,3.77,4.05,4.07,7.57,0.84,3.27,0.38,84
5082,Coconut Milk,73,5.88,2.27,5.4,7.97,0.12,4.67,0.11,139
5083,Almond Milk,54,6.01,4.7,8.69,6.92,0.82,2.49,0.74,135
5084,Whole Milk,54,1.67,3.02,10.56,9.64,0.85,7.52,0.63,92
5085,Whole Milk,50,4.14,1.4,10.17,3.79,0.56,7.32,0.97,125
5086,Oat Milk,49,6.2,4.49,8.78,3.88,0.59,5.67,0.71,113
5087,Almond Milk,55,4.62,4.47,10.02,0.57,0.0,3.4,0.02,125
5088,Cashew Milk,42,4.25,4.99,4.44,5.74,0.77,4.73,0.14,146
5089,Oat Milk,56,0.66,2.62,8.48,9.05,0.66,5.91,0.4,134
5090,Whole Milk,79,6.18,2.55,5.26,5.83,0.37,4.83,0.32,140
5091,Cashew Milk,74,2.43,3.35,8.64,8.66,0.98,2.56,0.81,104
5092,Whole Milk,64,7.14,4.95,3.11,8.33,0.23,5.57,0.64,107
5093,Oat Milk,50,4.55,0.17,10.78,8.78,0.8,1.9,1.0,150
5094,Cashew Milk,41,3.13,4.04,9.3,5.74,0.91,4.91,0.92,114
5095,2% Milk,77,5.35,4.31,2.29,2.95,0.32,3.62,0.67,84
5096,Cashew Milk,49,2.98,1.73,2.29,2.95,0.41,6.85,0.88,97
5097,Cashew Milk,69,2.24,2.72,10.13,7.14,0.65,7.84,0.07,125
5098,Soy Milk,56,7.07,2.35,1.79,7.45,0.22,6.55,0.49,139
5099,Skim Milk,77,7.66,0.9,9.27,4.15,0.42,4.33,0.8,118
5100,Almond Milk,58,5.46,4.2,8.21,7.92,0.65,5.18,0.33,92
5101,Skim Milk,48,3.09,4.63,4.02,5.33,0.55,7.49,0.85,138
5102,Oat Milk,49,3.49,4.81,7.09,2.23,0.67,7.23,0.46,106
5103,Cashew Milk,77,3.81,2.21,4.68,7.92,0.52,6.5,0.19,145
5104,Whole Milk,70,6.24,1.15,7.18,8.38,0.71,7.1,0.65,136
5105,Oat Milk,71,2.56,1.57,9.54,7.07,0.93,4.23,0.18,95
5106,2% Milk,50,2.0,3.13,2.67,5.54,0.66,2.18,0.75,85
5107,Coconut Milk,63,1.02,3.02,6.81,9.05,0.71,7.32,0.6,148
5108,Skim Milk,60,1.26,1.8,10.47,9.13,0.79,1.16,0.7,148
5109,Almond Milk,74,3.01,0.27,9.68,1.51,0.48,2.32,0.56,131
5110,Whole Milk,69,3.86,1.19,11.43,4.37,0.82,2.12,0.78,88
5111,Skim Milk,66,5.58,4.58,2.26,2.57,0.64,2.73,0.38,82
5112,Coconut Milk,78,5.78,2.61,7.91,7.72,0.34,2.13,0.51,141
5113,Skim Milk,70,2.14,4.39,5.14,0.68,0.2,5.82,0.4,125
5114,Cashew Milk,72,2.6,1.43,1.51,3.63,0.5,1.54,0.54,115
5115,Oat Milk,80,6.77,0.2,8.21,4.51,0.44,5.28,0.23,95
5116,Coconut Milk,69,0.66,3.93,11.68,7.99,0.75,3.92,0.54,106
5117,Almond Milk,53,7.59,3.38,2.85,7.96,0.31,4.54,0.18,119
5118,2% Milk,45,3.88,1.71,3.87,2.2,0.21,1.02,0.56,128
5119,Skim Milk,66,2.37,1.95,6.55,4.78,0.2,7.19,0.1,91
5120,Oat Milk,50,2.98,2.8,10.54,1.01,0.76,4.89,0.0,143
5121,Cashew Milk,57,4.01,0.85,2.19,8.2,0.47,1.77,0.43,147
5122,Cashew Milk,48,5.7,3.65,8.42,8.86,0.06,1.58,0.77,110
5123,Skim Milk,50,1.88,0.6,8.18,9.08,0.63,4.1,0.29,134
5124,Coconut Milk,48,6.94,4.69,5.79,4.41,0.7,4.8,0.12,149
5125,Coconut Milk,56,3.83,2.03,10.26,0.76,0.24,6.27,0.57,115
5126,Almond Milk,64,5.67,2.93,6.72,3.21,0.24,2.7,0.78,116
5127,Oat Milk,63,1.34,0.12,2.94,8.33,0.05,7.63,0.34,111
5128,2% Milk,73,4.04,1.96,8.81,8.85,0.93,1.56,0.16,80
5129,Almond Milk,66,1.1,1.17,10.44,7.57,0.7,4.35,0.59,108
5130,Cashew Milk,50,7.97,3.22,5.41,5.42,0.54,4.72,0.82,111
5131,Almond Milk,44,6.22,4.83,3.08,3.01,0.36,7.87,0.48,150
5132,Coconut Milk,78,3.59,4.79,1.82,7.24,0.81,3.24,0.25,127
5133,Cashew Milk,79,1.62,3.66,5.03,1.62,0.14,6.68,0.01,105
5134,Coconut Milk,55,6.83,4.11,1.41,2.72,0.54,2.04,0.65,120
5135,Oat Milk,80,7.08,0.33,7.97,9.75,0.16,3.73,0.8,104
5136,Cashew Milk,78,2.09,2.23,6.64,5.19,0.86,7.67,0.11,116
5137,Skim Milk,67,2.94,2.9,2.39,5.46,0.23,1.87,0.02,93
5138,Coconut Milk,42,4.71,4.27,10.2,8.67,0.81,4.87,0.12,105
5139,Almond Milk,53,4.81,3.24,5.81,2.8,0.97,5.21,0.24,142
5140,Almond Milk,67,4.35,2.57,6.18,1.8,0.99,2.17,0.6,144
5141,Soy Milk,58,3.35,3.9,2.59,7.52,0.31,1.92,0.75,106
5142,Oat Milk,54,3.37,2.93,7.57,7.67,0.38,7.87,0.22,112
5143,Almond Milk,67,5.51,2.8,9.78,6.6,0.64,4.29,0.1,103
5144,Cashew Milk,57,2.36,2.05,4.85,0.87,0.45,4.71,0.45,149
5145,Cashew Milk,69,5.82,1.67,4.68,1.66,0.71,7.03,0.9,109
5146,Almond Milk,78,7.15,3.76,5.2,8.5,0.61,4.34,0.51,107
5147,Whole Milk,63,7.26,0.73,1.91,6.67,0.45,1.94,0.87,89
5148,Oat Milk,50,5.4,0.65,3.14,7.54,0.49,1.22,0.75,102
5149,Cashew Milk,57,2.02,1.61,5.72,1.14,0.85,5.43,0.76,121
5150,Almond Milk,57,7.57,0.41,4.3,8.15,0.92,4.67,0.29,108
5151,Oat Milk,80,6.14,2.59,2.0,5.64,0.61,4.67,0.95,100
5152,2% Milk,69,6.65,4.87,7.25,5.09,0.83,2.41,0.54,102
5153,Soy Milk,48,3.9,2.28,3.49,3.85,0.02,7.77,0.57,80
5154,Soy Milk,55,7.75,2.73,6.59,4.54,0.98,4.17,0.77,87
5155,Oat Milk,50,6.22,3.27,10.64,6.75,0.01,3.42,0.34,98
5156,Oat Milk,74,0.75,0.64,9.46,8.38,0.79,4.9,0.89,111
5157,Whole Milk,71,3.06,0.3,3.16,2.26,0.07,5.34,0.5,128
5158,Oat Milk,71,2.38,3.72,4.2,8.46,0.8,6.3,0.44,108
5159,2% Milk,62,7.2,0.84,5.49,4.8,0.68,2.28,0.04,123
5160,Cashew Milk,74,1.84,3.11,6.3,1.1,0.02,7.16,0.05,86
5161,Skim Milk,76,2.07,3.6,3.07,8.84,0.38,1.57,0.44,105
5162,Skim Milk,53,1.45,4.35,1.86,6.05,0.22,6.09,0.54,125
5163,Oat Milk,70,4.61,1.08,2.15,9.24,0.92,4.7,0.39,126
5164,Skim Milk,71,4.61,2.8,5.74,4.6,0.39,6.41,0.22,125
5165,Almond Milk,64,4.7,2.22,8.91,5.24,0.83,3.66,0.89,145
5166,Almond Milk,52,5.73,0.96,9.44,2.7,0.06,3.23,0.72,95
5167,Oat Milk,57,6.83,4.09,2.21,2.42,0.75,6.88,0.98,93
5168,Cashew Milk,42,6.58,2.47,7.15,5.24,0.74,1.81,0.54,114
5169,Skim Milk,58,5.1,2.25,7.6,8.13,0.34,1.5,0.06,140
5170,2% Milk,74,6.57,1.84,11.64,5.12,0.75,2.96,0.25,98
5171,Almond Milk,51,2.36,0.66,1.4,8.2,0.2,7.28,0.51,125
5172,Skim Milk,45,6.02,4.14,7.93,4.11,0.99,2.73,0.96,132
5173,Oat Milk,58,1.64,4.98,2.32,2.37,0.04,2.87,0.13,83
5174,Whole Milk,63,2.42,2.3,10.71,0.93,0.84,6.62,0.19,99
5175,2% Milk,43,5.24,4.73,6.07,1.26,0.81,1.71,0.96,146
5176,Cashew Milk,75,2.97,0.23,2.75,3.92,0.16,4.21,0.67,89
5177,Skim Milk,78,2.98,3.51,4.75,8.84,0.69,2.7,0.85,128
5178,Skim Milk,58,5.25,2.14,1.52,9.64,0.2,1.34,0.01,93
5179,Whole Milk,51,3.65,4.51,10.54,2.64,0.75,1.95,0.08,138
5180,Almond Milk,80,5.58,3.12,2.18,5.22,0.56,3.58,0.29,102
5181,Soy Milk,52,7.46,4.16,6.58,5.71,0.41,3.59,0.2,85
5182,Almond Milk,58,4.62,3.83,6.13,9.17,0.09,4.65,0.64,89
5183,Coconut Milk,59,5.05,4.52,11.38,6.84,0.7,4.29,0.91,141
5184,Whole Milk,78,6.08,4.57,8.31,3.05,0.45,5.84,0.71,139
5185,Whole Milk,59,5.71,4.52,5.08,1.59,0.51,6.0,0.36,112
5186,Soy Milk,80,6.05,3.44,1.34,0.95,0.28,5.57,0.07,83
5187,Almond Milk,65,1.22,3.31,11.29,6.26,0.3,7.14,0.98,125
5188,Soy Milk,61,6.98,2.27,4.05,4.46,0.51,2.22,0.55,150
5189,Oat Milk,59,4.82,3.82,6.36,6.94,0.72,3.65,0.81,124
5190,Skim Milk,43,2.68,2.59,9.9,5.34,0.35,4.57,0.3,110
5191,2% Milk,41,1.36,2.6,9.02,2.71,0.37,3.66,0.81,142
5192,Oat Milk,61,0.56,2.41,7.11,8.35,0.95,2.07,0.7,111
5193,Coconut Milk,66,5.64,0.87,7.75,5.99,0.52,4.79,0.8,147
5194,Oat Milk,62,1.86,3.19,10.83,8.55,0.59,6.57,0.75,150
5195,Skim Milk,69,3.78,0.89,10.64,6.47,0.16,5.66,0.78,81
5196,Oat Milk,67,1.85,2.19,5.47,1.31,0.68,3.84,0.41,138
5197,Soy Milk,54,1.67,4.21,9.67,1.52,0.43,3.73,0.78,92
5198,2% Milk,59,0.7,2.17,6.01,9.59,0.01,2.49,0.19,123
5199,Coconut Milk,51,6.6,3.5,9.66,2.96,0.77,3.22,0.94,92
5200,Skim Milk,73,6.64,4.69,3.63,1.78,0.62,4.22,0.91,116
5201,Skim Milk,56,5.08,1.74,7.51,9.18,0.74,5.13,0.48,92
5202,Cashew Milk,46,1.51,4.44,9.81,8.15,0.84,2.35,0.06,102
5203,Skim Milk,41,3.75,4.04,5.81,0.98,0.27,3.11,0.46,124
5204,Whole Milk,69,4.88,2.05,9.9,6.32,0.15,3.7,0.25,123
5205,Oat Milk,66,3.01,3.52,9.2,6.38,0.21,5.61,0.05,112
5206,Skim Milk,68,7.14,3.1,8.88,9.61,0.89,6.78,0.76,100
5207,Skim Milk,57,7.49,4.95,3.22,0.89,0.11,1.89,0.11,80
5208,Oat Milk,52,6.92,2.37,10.02,8.15,0.46,2.71,0.96,96
5209,Oat Milk,65,3.52,4.91,8.52,4.24,0.53,2.02,0.11,143
5210,Oat Milk,47,3.51,3.41,11.66,5.73,0.47,2.05,0.78,95
5211,Whole Milk,44,1.03,3.27,3.4,1.38,0.12,7.79,0.39,92
5212,2% Milk,74,7.39,0.3,6.15,2.38,0.46,6.87,0.46,130
5213,Whole Milk,51,2.65,2.95,2.52,6.92,0.62,2.35,0.53,150
5214,Whole Milk,76,6.28,1.2,1.94,3.12,0.92,4.12,0.08,114
5215,Coconut Milk,54,1.25,4.18,10.43,3.62,0.82,1.24,0.69,147
5216,Oat Milk,62,1.22,2.53,7.04,0.97,0.0,7.79,0.9,125
5217,Whole Milk,77,1.99,1.93,4.02,5.7,0.0,4.01,0.43,147
5218,Skim Milk,67,3.92,4.42,7.54,8.67,0.16,2.35,0.9,150
5219,Almond Milk,48,2.07,3.56,8.0,7.09,0.39,3.01,0.02,129
5220,Oat Milk,56,4.78,4.22,4.18,6.83,0.8,1.14,0.41,95
5221,Coconut Milk,41,1.94,0.34,2.75,8.08,0.79,1.79,0.89,130
5222,Skim Milk,45,4.33,1.68,1.63,1.73,0.01,3.18,0.76,148
5223,Oat Milk,43,6.57,4.33,1.22,0.92,0.51,7.33,0.91,97
5224,2% Milk,75,3.96,1.29,5.71,0.99,0.02,6.7,0.77,86
5225,Soy Milk,67,4.83,4.71,1.04,1.04,0.29,4.21,0.16,93
5226,Coconut Milk,61,3.96,0.8,8.67,1.96,0.93,6.67,0.84,84
5227,Whole Milk,80,6.5,0.98,7.53,2.19,0.94,1.26,0.86,102
5228,Oat Milk,70,4.1,2.62,8.92,1.41,0.87,3.24,0.17,91
5229,Coconut Milk,74,6.48,2.01,6.38,6.69,0.26,4.39,0.06,145
5230,Oat Milk,64,0.67,3.9,8.81,1.73,0.2,7.26,0.27,128
5231,2% Milk,58,3.66,3.2,7.21,1.18,0.41,5.37,0.83,94
5232,Cashew Milk,70,6.26,2.58,4.58,5.94,0.74,3.59,0.61,142
5233,Oat Milk,68,0.94,4.32,4.6,9.49,0.81,3.77,0.93,121
5234,Coconut Milk,62,5.55,2.26,8.32,4.7,0.85,6.54,0.54,93
5235,Soy Milk,46,2.56,2.44,10.7,9.85,0.11,6.14,0.57,94
5236,Skim Milk,53,0.69,4.97,2.97,7.86,0.3,4.21,0.57,134
5237,Soy Milk,48,7.52,3.41,2.02,6.57,0.5,5.79,0.01,122
5238,Coconut Milk,72,3.07,0.69,11.41,4.71,0.33,3.52,0.1,103
5239,Almond Milk,54,4.66,0.15,10.58,0.54,0.72,4.73,0.86,145
5240,Coconut Milk,61,3.21,1.17,4.25,6.67,0.21,2.32,0.79,132
5241,Skim Milk,80,3.86,4.73,8.36,6.49,0.6,6.4,0.02,94
5242,Soy Milk,57,1.48,4.5,6.47,4.7,0.99,1.59,0.8,87
5243,Soy Milk,79,0.64,0.64,7.36,4.57,0.97,1.38,0.96,114
5244,Almond Milk,72,2.09,1.04,10.9,1.64,0.64,4.91,0.45,104
5245,Oat Milk,74,7.36,4.79,2.49,3.98,0.12,6.26,0.96,131
5246,Whole Milk,77,1.35,0.59,2.55,8.54,0.03,5.51,0.54,110
5247,Coconut Milk,52,4.67,3.07,1.31,4.37,0.33,2.18,0.18,144
5248,Coconut Milk,51,6.33,3.04,7.34,0.52,1.0,2.66,0.95,91
5249,Skim Milk,79,7.0,0.91,7.22,4.92,0.66,1.14,0.04,92
5250,Almond Milk,59,5.68,1.97,6.51,3.69,0.99,5.0,0.45,118
5251,Skim Milk,72,4.03,3.23,7.08,1.1,0.78,2.68,0.72,102
5252,Almond Milk,75,3.89,3.06,6.42,2.94,0.42,3.48,0.79,131
5253,Cashew Milk,58,4.71,1.2,2.52,3.95,0.65,2.83,0.36,136
5254,Oat Milk,78,1.76,4.47,6.43,8.98,0.28,4.74,0.38,142
5255,Whole Milk,74,3.64,4.94,9.77,2.98,0.95,5.01,0.35,99
5256,Soy Milk,54,6.59,3.32,5.84,7.2,0.73,6.89,0.04,108
5257,Soy Milk,48,7.75,1.6,1.14,2.21,0.31,4.93,0.52,149
5258,2% Milk,42,2.62,1.56,8.91,7.57,0.13,6.43,0.27,83
5259,Coconut Milk,77,5.65,1.99,7.32,3.04,0.7,7.42,0.28,118
5260,Whole Milk,67,0.64,1.96,2.62,6.16,0.26,7.32,0.44,132
5261,Almond Milk,50,6.86,2.86,7.08,7.44,0.32,1.57,0.56,140
5262,Cashew Milk,47,6.73,1.21,2.89,2.81,0.91,4.76,0.57,134
